[792, 612]
[section-title, [225.0, 135.0, 201.0, 30.0], shoonya_0sAOJM7C35NJSE, 6517556]
[section-title, [225.0, 165.0, 201.0, 30.0], shoonya_0sAOJM7C35NJSE, 6517556]
[paragraph, [261.0, 208.0, 124.0, 18.0], KjlYRUmlgu, 6517556]
[paragraph, [261.0, 226.0, 124.0, 18.0], KjlYRUmlgu, 6517556]
[paragraph, [261.0, 244.0, 124.0, 18.0], KjlYRUmlgu, 6517556]
[paragraph, [261.0, 262.0, 124.0, 18.0], KjlYRUmlgu, 6517556]
[paragraph, [261.0, 280.0, 124.0, 18.0], KjlYRUmlgu, 6517556]
[paragraph, [261.0, 298.0, 124.0, 18.0], KjlYRUmlgu, 6517556]
[paragraph, [261.0, 316.0, 124.0, 18.0], KjlYRUmlgu, 6517556]
[paragraph, [261.0, 334.0, 124.0, 18.0], KjlYRUmlgu, 6517556]
[paragraph, [261.0, 352.0, 124.0, 18.0], KjlYRUmlgu, 6517556]
[paragraph, [261.0, 370.0, 124.0, 18.0], KjlYRUmlgu, 6517556]
[paragraph, [261.0, 388.0, 124.0, 18.0], KjlYRUmlgu, 6517556]
[paragraph, [261.0, 406.0, 124.0, 18.0], KjlYRUmlgu, 6517556]
[paragraph, [261.0, 424.0, 124.0, 18.0], KjlYRUmlgu, 6517556]
[paragraph, [261.0, 442.0, 124.0, 18.0], KjlYRUmlgu, 6517556]
