[3508, 2481]
[contact-info, [687.0, 422.0, 1113.0, 52.5], XD_GXZMPpM, 6516675]
[contact-info, [687.0, 474.5, 1113.0, 52.5], XD_GXZMPpM, 6516675]
[section-title, [1019.0, 593.0, 419.0, 93.0], ehCArVIkmL, 6516675]
[paragraph, [215.0, 1076.0, 261.0, 52.5], shoonya_1s8IHH7LXOTXUK, 6516675]
[paragraph, [220.0, 1192.0, 2040.0, 52.5], shoonya_2sOQZRHXDIWDOW, 6516675]
[paragraph, [220.0, 1244.5, 2040.0, 52.5], shoonya_2sOQZRHXDIWDOW, 6516675]
[paragraph, [220.0, 1297.0, 2040.0, 52.5], shoonya_2sOQZRHXDIWDOW, 6516675]
[paragraph, [220.0, 1349.5, 2040.0, 52.5], shoonya_2sOQZRHXDIWDOW, 6516675]
[paragraph, [220.0, 1402.0, 2040.0, 52.5], shoonya_2sOQZRHXDIWDOW, 6516675]
[ordered-list, [276.0, 1612.0, 1982.0, 52.5], shoonya_5sIQ3MEUR89LQD, 6516675]
[ordered-list, [276.0, 1664.5, 1982.0, 52.5], shoonya_5sIQ3MEUR89LQD, 6516675]
[ordered-list, [276.0, 1717.0, 1982.0, 52.5], shoonya_5sIQ3MEUR89LQD, 6516675]
[ordered-list, [276.0, 1769.5, 1982.0, 52.5], shoonya_5sIQ3MEUR89LQD, 6516675]
[ordered-list, [276.0, 1822.0, 1982.0, 52.5], shoonya_5sIQ3MEUR89LQD, 6516675]
[ordered-list, [276.0, 1874.5, 1982.0, 52.5], shoonya_5sIQ3MEUR89LQD, 6516675]
[ordered-list, [276.0, 1927.0, 1982.0, 52.5], shoonya_5sIQ3MEUR89LQD, 6516675]
[ordered-list, [276.0, 1979.5, 1982.0, 52.5], shoonya_5sIQ3MEUR89LQD, 6516675]
[ordered-list, [276.0, 2032.0, 1982.0, 52.5], shoonya_5sIQ3MEUR89LQD, 6516675]
[ordered-list, [276.0, 2084.5, 1982.0, 52.5], shoonya_5sIQ3MEUR89LQD, 6516675]
[placeholder-text, [1991.0, 2498.0, 262.0, 18.0], shoonya_0sZJ98E0FXTBDG, 6516675]
[placeholder-text, [1991.0, 2516.0, 262.0, 18.0], shoonya_0sZJ98E0FXTBDG, 6516675]
[contact-info, [1846.0, 2599.0, 407.0, 52.5], jCzdC5Tkn9, 6516675]
[contact-info, [1846.0, 2651.5, 407.0, 52.5], jCzdC5Tkn9, 6516675]
[contact-info, [224.0, 3278.0, 472.0, 52.5], shoonya_3sJHMP273ACD88, 6516675]
