[2339, 1653]
[folio, [1097.0, 330.0, 317.0, 36.0], LVpOjnRpeJ, 5735712]
[folio, [238.0, 331.0, 139.0, 36.0], shoonya_11s5MZF0YWO84J, 5735712]
[paragraph, [834.0, 387.0, 580.0, 36.0], shoonya_2sTHHL6YE2FN3A, 5735712]
[paragraph, [834.0, 423.0, 580.0, 36.0], shoonya_2sTHHL6YE2FN3A, 5735712]
[paragraph, [834.0, 459.0, 580.0, 36.0], shoonya_2sTHHL6YE2FN3A, 5735712]
[paragraph, [834.0, 495.0, 580.0, 36.0], shoonya_2sTHHL6YE2FN3A, 5735712]
[paragraph, [235.0, 388.0, 581.0, 36.0], shoonya_3sB1UUA5FV4XSP, 5735712]
[paragraph, [235.0, 424.0, 581.0, 36.0], shoonya_3sB1UUA5FV4XSP, 5735712]
[paragraph, [235.0, 460.0, 581.0, 36.0], shoonya_3sB1UUA5FV4XSP, 5735712]
[paragraph, [235.0, 496.0, 581.0, 36.0], shoonya_3sB1UUA5FV4XSP, 5735712]
[paragraph, [235.0, 532.0, 581.0, 36.0], shoonya_3sB1UUA5FV4XSP, 5735712]
[paragraph, [235.0, 568.0, 581.0, 36.0], shoonya_3sB1UUA5FV4XSP, 5735712]
[paragraph, [235.0, 604.0, 581.0, 36.0], shoonya_3sB1UUA5FV4XSP, 5735712]
[paragraph, [235.0, 640.0, 581.0, 36.0], shoonya_3sB1UUA5FV4XSP, 5735712]
[paragraph, [235.0, 676.0, 581.0, 36.0], shoonya_3sB1UUA5FV4XSP, 5735712]
[paragraph, [235.0, 712.0, 581.0, 36.0], shoonya_3sB1UUA5FV4XSP, 5735712]
[paragraph, [235.0, 748.0, 581.0, 36.0], shoonya_3sB1UUA5FV4XSP, 5735712]
[paragraph, [235.0, 784.0, 581.0, 36.0], shoonya_3sB1UUA5FV4XSP, 5735712]
[paragraph, [235.0, 820.0, 581.0, 36.0], shoonya_3sB1UUA5FV4XSP, 5735712]
[paragraph, [235.0, 856.0, 581.0, 36.0], shoonya_3sB1UUA5FV4XSP, 5735712]
[sidebar, [1452.0, 441.0, 142.0, 36.0], Qp8iJSobbO, 5735712]
[paragraph, [836.0, 568.0, 578.0, 36.0], shoonya_0sQ708H54Y1MJJ, 5735712]
[paragraph, [836.0, 604.0, 578.0, 36.0], shoonya_0sQ708H54Y1MJJ, 5735712]
[paragraph, [836.0, 640.0, 578.0, 36.0], shoonya_0sQ708H54Y1MJJ, 5735712]
[paragraph, [836.0, 676.0, 578.0, 36.0], shoonya_0sQ708H54Y1MJJ, 5735712]
[paragraph, [836.0, 712.0, 578.0, 36.0], shoonya_0sQ708H54Y1MJJ, 5735712]
[paragraph, [836.0, 748.0, 578.0, 36.0], shoonya_0sQ708H54Y1MJJ, 5735712]
[paragraph, [836.0, 784.0, 578.0, 36.0], shoonya_0sQ708H54Y1MJJ, 5735712]
[paragraph, [836.0, 820.0, 578.0, 36.0], shoonya_0sQ708H54Y1MJJ, 5735712]
[paragraph, [836.0, 856.0, 578.0, 36.0], shoonya_0sQ708H54Y1MJJ, 5735712]
[paragraph, [836.0, 892.0, 578.0, 36.0], shoonya_0sQ708H54Y1MJJ, 5735712]
