[2200, 1700]
[paragraph, [355.0, 97.0, 1083.0, 36.0], shoonya_4sSH502F5MIPGM, 5731273]
[paragraph, [355.0, 133.0, 1083.0, 36.0], shoonya_4sSH502F5MIPGM, 5731273]
[paragraph, [355.0, 169.0, 1083.0, 36.0], shoonya_4sSH502F5MIPGM, 5731273]
[paragraph, [465.0, 212.0, 639.0, 36.0], shoonya_3sY6Z0ECFRYH85, 5731273]
[paragraph, [354.0, 269.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 305.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 341.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 377.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 413.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 449.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 485.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 521.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 557.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 593.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 629.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 665.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 701.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 737.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 773.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 809.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 845.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 881.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 917.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 953.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 989.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 1025.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 1061.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 1097.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 1133.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 1169.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 1205.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 1241.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 1277.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [354.0, 1313.0, 1088.0, 36.0], shoonya_0sWWU0NOQEX0A2, 5731273]
[paragraph, [358.0, 1369.0, 1005.0, 36.0], lmBJpThz8U, 5731273]
[paragraph, [463.0, 1444.0, 809.0, 36.0], shoonya_1s57KJ8U4QCUPI, 5731273]
[paragraph, [573.0, 1509.0, 770.0, 36.0], ZENiPyjvrd, 5731273]
[paragraph, [573.0, 1545.0, 770.0, 36.0], ZENiPyjvrd, 5731273]
[paragraph, [573.0, 1581.0, 770.0, 36.0], ZENiPyjvrd, 5731273]
[paragraph, [353.0, 1629.0, 1087.0, 36.0], shoonya_2sHACR3IBMB3V2, 5731273]
[paragraph, [353.0, 1665.0, 1087.0, 36.0], shoonya_2sHACR3IBMB3V2, 5731273]
[paragraph, [353.0, 1701.0, 1087.0, 36.0], shoonya_2sHACR3IBMB3V2, 5731273]
[paragraph, [353.0, 1737.0, 1087.0, 36.0], shoonya_2sHACR3IBMB3V2, 5731273]
[paragraph, [353.0, 1773.0, 1087.0, 36.0], shoonya_2sHACR3IBMB3V2, 5731273]
[paragraph, [353.0, 1809.0, 1087.0, 36.0], shoonya_2sHACR3IBMB3V2, 5731273]
[paragraph, [353.0, 1845.0, 1087.0, 36.0], shoonya_2sHACR3IBMB3V2, 5731273]
[paragraph, [353.0, 1881.0, 1087.0, 36.0], shoonya_2sHACR3IBMB3V2, 5731273]
[paragraph, [353.0, 1917.0, 1087.0, 36.0], shoonya_2sHACR3IBMB3V2, 5731273]
[folio, [466.0, 2038.0, 369.0, 36.0], r4Hid_j_nC, 5731273]
