[1787, 1218]
[paragraph, [284.0, 95.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 131.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 167.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 203.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 239.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 275.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 311.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 347.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 383.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 419.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 455.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 491.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 527.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 563.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 599.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 635.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 671.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 707.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 743.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 779.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 815.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 851.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 887.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 923.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 959.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 995.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 1031.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 1067.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 1103.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 1139.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 1175.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 1211.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 1247.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [284.0, 1283.0, 468.0, 36.0], 5Uiu9beN2v, 5652310]
[paragraph, [106.0, 1357.0, 1006.0, 36.0], shoonya_0sA3WVIC7M202N, 5652310]
[paragraph, [106.0, 1393.0, 1006.0, 36.0], shoonya_0sA3WVIC7M202N, 5652310]
[paragraph, [106.0, 1429.0, 1006.0, 36.0], shoonya_0sA3WVIC7M202N, 5652310]
[paragraph, [106.0, 1465.0, 1006.0, 36.0], shoonya_0sA3WVIC7M202N, 5652310]
[paragraph, [106.0, 1501.0, 1006.0, 36.0], shoonya_0sA3WVIC7M202N, 5652310]
[paragraph, [106.0, 1537.0, 1006.0, 36.0], shoonya_0sA3WVIC7M202N, 5652310]
[footnote, [450.0, 1625.0, 231.0, 36.0], aYl5XJzx39, 5652310]
