[842, 595]
[section-title, [34.0, 84.0, 54.0, 30.0], dqmgn4z8TC, 5742495]
[paragraph, [274.0, 92.0, 270.0, 18.0], shoonya_2sDN0ZSBYSUPWD, 5742495]
[paragraph, [274.0, 110.0, 270.0, 18.0], shoonya_2sDN0ZSBYSUPWD, 5742495]
[paragraph, [274.0, 128.0, 270.0, 18.0], shoonya_2sDN0ZSBYSUPWD, 5742495]
[paragraph, [274.0, 146.0, 270.0, 18.0], shoonya_2sDN0ZSBYSUPWD, 5742495]
[paragraph, [274.0, 164.0, 270.0, 18.0], shoonya_2sDN0ZSBYSUPWD, 5742495]
[paragraph, [274.0, 182.0, 270.0, 18.0], shoonya_2sDN0ZSBYSUPWD, 5742495]
[headline, [54.0, 132.0, 209.0, 25.5], shoonya_5s1RMQME0YGFQH, 5742495]
[headline, [54.0, 157.5, 209.0, 25.5], shoonya_5s1RMQME0YGFQH, 5742495]
[headline, [54.0, 183.0, 209.0, 25.5], shoonya_5s1RMQME0YGFQH, 5742495]
[paragraph, [275.0, 204.0, 269.0, 18.0], shoonya_0s8L3H67AI3KIH, 5742495]
[paragraph, [275.0, 222.0, 269.0, 18.0], shoonya_0s8L3H67AI3KIH, 5742495]
[paragraph, [275.0, 240.0, 269.0, 18.0], shoonya_0s8L3H67AI3KIH, 5742495]
[paragraph, [275.0, 258.0, 269.0, 18.0], shoonya_0s8L3H67AI3KIH, 5742495]
[paragraph, [275.0, 276.0, 269.0, 18.0], shoonya_0s8L3H67AI3KIH, 5742495]
[paragraph, [275.0, 294.0, 269.0, 18.0], shoonya_0s8L3H67AI3KIH, 5742495]
[author, [89.0, 235.0, 144.0, 18.0], eqxo3iqwEA, 5742495]
[contact-info, [104.0, 259.0, 119.0, 18.0], shoonya_7sJFWK5ZW2ILGJ, 5742495]
[contact-info, [104.0, 277.0, 119.0, 18.0], shoonya_7sJFWK5ZW2ILGJ, 5742495]
[figure-caption, [459.0, 663.0, 136.0, 18.0], mG7XefkLF_, 5742495]
[figure-caption, [459.0, 681.0, 136.0, 18.0], mG7XefkLF_, 5742495]
