[1787, 1218]
[author, [860.0, 307.0, 260.0, 36.0], B4E7X3uCqM, 5651873]
[section-title, [105.0, 339.0, 304.0, 49.5], BfdU3voLNj, 5651873]
[paragraph, [215.0, 480.0, 398.0, 36.0], shoonya_0sUQIAYCD87Y9H, 5651873]
[paragraph, [215.0, 516.0, 398.0, 36.0], shoonya_0sUQIAYCD87Y9H, 5651873]
[paragraph, [210.0, 581.0, 366.0, 36.0], 6tKQuP4ny4, 5651873]
[paragraph, [210.0, 617.0, 366.0, 36.0], 6tKQuP4ny4, 5651873]
[paragraph, [213.0, 671.0, 418.0, 36.0], EvF68OYGky, 5651873]
[paragraph, [213.0, 707.0, 418.0, 36.0], EvF68OYGky, 5651873]
[paragraph, [210.0, 771.0, 414.0, 36.0], b346fENW7P, 5651873]
[paragraph, [210.0, 807.0, 414.0, 36.0], b346fENW7P, 5651873]
[paragraph, [210.0, 843.0, 414.0, 36.0], b346fENW7P, 5651873]
[paragraph, [210.0, 879.0, 414.0, 36.0], b346fENW7P, 5651873]
[paragraph, [210.0, 915.0, 414.0, 36.0], b346fENW7P, 5651873]
[paragraph, [205.0, 960.0, 420.0, 36.0], zyux0IVMO1, 5651873]
[paragraph, [205.0, 996.0, 420.0, 36.0], zyux0IVMO1, 5651873]
[paragraph, [205.0, 1032.0, 420.0, 36.0], zyux0IVMO1, 5651873]
[paragraph, [205.0, 1068.0, 420.0, 36.0], zyux0IVMO1, 5651873]
[paragraph, [205.0, 1104.0, 420.0, 36.0], zyux0IVMO1, 5651873]
[paragraph, [214.0, 1152.0, 414.0, 36.0], 9SjecmENZw, 5651873]
[paragraph, [214.0, 1188.0, 414.0, 36.0], 9SjecmENZw, 5651873]
[paragraph, [214.0, 1224.0, 414.0, 36.0], 9SjecmENZw, 5651873]
[paragraph, [214.0, 1260.0, 414.0, 36.0], 9SjecmENZw, 5651873]
[paragraph, [214.0, 1296.0, 414.0, 36.0], 9SjecmENZw, 5651873]
[footnote, [479.0, 1650.0, 229.0, 36.0], uZCmqe08XF, 5651873]
