[2200, 1700]
[paragraph, [298.0, 70.0, 1091.0, 36.0], shoonya_2sL6R3LUYG2W1E, 5730815]
[paragraph, [298.0, 106.0, 1091.0, 36.0], shoonya_2sL6R3LUYG2W1E, 5730815]
[paragraph, [298.0, 142.0, 1091.0, 36.0], shoonya_2sL6R3LUYG2W1E, 5730815]
[paragraph, [298.0, 178.0, 1091.0, 36.0], shoonya_2sL6R3LUYG2W1E, 5730815]
[paragraph, [298.0, 214.0, 1091.0, 36.0], shoonya_2sL6R3LUYG2W1E, 5730815]
[paragraph, [298.0, 250.0, 1091.0, 36.0], shoonya_2sL6R3LUYG2W1E, 5730815]
[paragraph, [298.0, 286.0, 1091.0, 36.0], shoonya_2sL6R3LUYG2W1E, 5730815]
[paragraph, [298.0, 322.0, 1091.0, 36.0], shoonya_2sL6R3LUYG2W1E, 5730815]
[paragraph, [298.0, 358.0, 1091.0, 36.0], shoonya_2sL6R3LUYG2W1E, 5730815]
[ordered-list, [289.0, 405.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 441.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 477.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 513.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 549.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 585.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 621.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 657.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 693.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 729.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 765.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 801.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 837.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 873.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 909.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 945.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 981.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1017.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1053.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1089.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1125.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1161.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1197.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1233.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1269.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1305.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1341.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1377.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1413.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1449.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1485.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1521.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1557.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1593.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1629.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1665.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1701.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1737.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1773.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1809.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1845.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[ordered-list, [289.0, 1881.0, 1112.0, 36.0], shoonya_0s03YEKQIYU12W, 5730815]
[folio, [946.0, 2006.0, 367.0, 36.0], ABplyAHxV6, 5730815]
