[3509, 2482]
[folio, [874.0, 198.0, 434.0, 52.5], MLJJxbLBWa, 5692065]
[paragraph, [217.0, 342.0, 1744.0, 52.5], shoonya_2sZB0EZECUWIQ3, 5692065]
[paragraph, [217.0, 394.5, 1744.0, 52.5], shoonya_2sZB0EZECUWIQ3, 5692065]
[paragraph, [217.0, 447.0, 1744.0, 52.5], shoonya_2sZB0EZECUWIQ3, 5692065]
[paragraph, [241.0, 495.0, 605.0, 52.5], shoonya_4sX7KJYVJEJ6M0, 5692065]
[paragraph, [182.0, 574.0, 1802.0, 52.5], shoonya_1sUVBKQHD1G0PU, 5692065]
[paragraph, [182.0, 626.5, 1802.0, 52.5], shoonya_1sUVBKQHD1G0PU, 5692065]
[paragraph, [182.0, 679.0, 1802.0, 52.5], shoonya_1sUVBKQHD1G0PU, 5692065]
[paragraph, [182.0, 731.5, 1802.0, 52.5], shoonya_1sUVBKQHD1G0PU, 5692065]
[paragraph, [182.0, 784.0, 1802.0, 52.5], shoonya_1sUVBKQHD1G0PU, 5692065]
[paragraph, [182.0, 836.5, 1802.0, 52.5], shoonya_1sUVBKQHD1G0PU, 5692065]
[paragraph, [182.0, 889.0, 1802.0, 52.5], shoonya_1sUVBKQHD1G0PU, 5692065]
[paragraph, [182.0, 941.5, 1802.0, 52.5], shoonya_1sUVBKQHD1G0PU, 5692065]
[paragraph, [182.0, 994.0, 1802.0, 52.5], shoonya_1sUVBKQHD1G0PU, 5692065]
[paragraph, [226.0, 1259.0, 1749.0, 52.5], shoonya_0sBV0Z7O7TL972, 5692065]
[paragraph, [226.0, 1311.5, 1749.0, 52.5], shoonya_0sBV0Z7O7TL972, 5692065]
[paragraph, [226.0, 1364.0, 1749.0, 52.5], shoonya_0sBV0Z7O7TL972, 5692065]
[paragraph, [226.0, 1416.5, 1749.0, 52.5], shoonya_0sBV0Z7O7TL972, 5692065]
[paragraph, [226.0, 1469.0, 1749.0, 52.5], shoonya_0sBV0Z7O7TL972, 5692065]
[paragraph, [226.0, 1521.5, 1749.0, 52.5], shoonya_0sBV0Z7O7TL972, 5692065]
[paragraph, [226.0, 1574.0, 1749.0, 52.5], shoonya_0sBV0Z7O7TL972, 5692065]
[paragraph, [226.0, 1626.5, 1749.0, 52.5], shoonya_0sBV0Z7O7TL972, 5692065]
[paragraph, [226.0, 1679.0, 1749.0, 52.5], shoonya_0sBV0Z7O7TL972, 5692065]
[paragraph, [226.0, 1731.5, 1749.0, 52.5], shoonya_0sBV0Z7O7TL972, 5692065]
[paragraph, [229.0, 1821.0, 1765.0, 52.5], P2djKig7Xr, 5692065]
[paragraph, [229.0, 1873.5, 1765.0, 52.5], P2djKig7Xr, 5692065]
[paragraph, [229.0, 1926.0, 1765.0, 52.5], P2djKig7Xr, 5692065]
[paragraph, [229.0, 1978.5, 1765.0, 52.5], P2djKig7Xr, 5692065]
[paragraph, [229.0, 2031.0, 1765.0, 52.5], P2djKig7Xr, 5692065]
[paragraph, [229.0, 2083.5, 1765.0, 52.5], P2djKig7Xr, 5692065]
[paragraph, [229.0, 2136.0, 1765.0, 52.5], P2djKig7Xr, 5692065]
[paragraph, [229.0, 2188.5, 1765.0, 52.5], P2djKig7Xr, 5692065]
[paragraph, [229.0, 2241.0, 1765.0, 52.5], P2djKig7Xr, 5692065]
[paragraph, [229.0, 2293.5, 1765.0, 52.5], P2djKig7Xr, 5692065]
[paragraph, [235.0, 2373.0, 1771.0, 52.5], K9KwPMVQ4a, 5692065]
[paragraph, [235.0, 2425.5, 1771.0, 52.5], K9KwPMVQ4a, 5692065]
[paragraph, [235.0, 2478.0, 1771.0, 52.5], K9KwPMVQ4a, 5692065]
[paragraph, [318.0, 2531.0, 692.0, 52.5], shoonya_3sJCBZRBKYDMNQ, 5692065]
[paragraph, [316.0, 2618.0, 176.0, 52.5], HD-B3qt6K5, 5692065]
[paragraph, [307.0, 2689.0, 1079.0, 52.5], P7XEWdc52M, 5692065]
[paragraph, [229.0, 2767.0, 1793.0, 52.5], 7_3YGD9aWf, 5692065]
[paragraph, [229.0, 2819.5, 1793.0, 52.5], 7_3YGD9aWf, 5692065]
[paragraph, [229.0, 2872.0, 1793.0, 52.5], 7_3YGD9aWf, 5692065]
[paragraph, [229.0, 2924.5, 1793.0, 52.5], 7_3YGD9aWf, 5692065]
[paragraph, [229.0, 2977.0, 1793.0, 52.5], 7_3YGD9aWf, 5692065]
[paragraph, [229.0, 3029.5, 1793.0, 52.5], 7_3YGD9aWf, 5692065]
[paragraph, [229.0, 3082.0, 1793.0, 52.5], 7_3YGD9aWf, 5692065]
[paragraph, [229.0, 3134.5, 1793.0, 52.5], 7_3YGD9aWf, 5692065]
[paragraph, [229.0, 3187.0, 1793.0, 52.5], 7_3YGD9aWf, 5692065]
[paragraph, [304.0, 3245.0, 608.0, 52.5], NhstE1548U, 5692065]
