[856, 612]
[folio, [232.0, 137.0, 135.0, 18.0], shoonya_0sOHYYEU3DIW68, 6460122]
[paragraph, [131.0, 179.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 197.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 215.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 233.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 251.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 269.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 287.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 305.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 323.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 341.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 359.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 377.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 395.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 413.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 431.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 449.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 467.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 485.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 503.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 521.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 539.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 557.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 575.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 593.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 611.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 629.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 647.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 665.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
[paragraph, [131.0, 683.0, 334.0, 18.0], OmSLsTMLIi, 6460122]
