[1650, 1275]
[paragraph, [279.0, 134.0, 806.0, 36.0], shoonya_1sCL4JEDE5225A, 5714285]
[paragraph, [279.0, 170.0, 806.0, 36.0], shoonya_1sCL4JEDE5225A, 5714285]
[paragraph, [279.0, 206.0, 806.0, 36.0], shoonya_1sCL4JEDE5225A, 5714285]
[paragraph, [279.0, 242.0, 806.0, 36.0], shoonya_1sCL4JEDE5225A, 5714285]
[paragraph, [279.0, 278.0, 806.0, 36.0], shoonya_1sCL4JEDE5225A, 5714285]
[paragraph, [279.0, 314.0, 806.0, 36.0], shoonya_1sCL4JEDE5225A, 5714285]
[paragraph, [279.0, 350.0, 806.0, 36.0], shoonya_1sCL4JEDE5225A, 5714285]
[paragraph, [279.0, 386.0, 806.0, 36.0], shoonya_1sCL4JEDE5225A, 5714285]
[paragraph, [275.0, 498.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 534.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 570.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 606.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 642.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 678.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 714.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 750.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 786.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 822.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 858.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 894.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 930.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 966.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 1002.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 1038.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [275.0, 1074.0, 812.0, 36.0], shoonya_0sAVIAADZDART8, 5714285]
[paragraph, [279.0, 1120.0, 805.0, 36.0], shoonya_3s4J8YL75M8BDK, 5714285]
[paragraph, [279.0, 1156.0, 805.0, 36.0], shoonya_3s4J8YL75M8BDK, 5714285]
[paragraph, [279.0, 1192.0, 805.0, 36.0], shoonya_3s4J8YL75M8BDK, 5714285]
[paragraph, [279.0, 1228.0, 805.0, 36.0], shoonya_3s4J8YL75M8BDK, 5714285]
[paragraph, [279.0, 1264.0, 805.0, 36.0], shoonya_3s4J8YL75M8BDK, 5714285]
[paragraph, [279.0, 1300.0, 805.0, 36.0], shoonya_3s4J8YL75M8BDK, 5714285]
[paragraph, [279.0, 1336.0, 805.0, 36.0], shoonya_3s4J8YL75M8BDK, 5714285]
[paragraph, [279.0, 1372.0, 805.0, 36.0], shoonya_3s4J8YL75M8BDK, 5714285]
[paragraph, [279.0, 1408.0, 805.0, 36.0], shoonya_3s4J8YL75M8BDK, 5714285]
[paragraph, [279.0, 1444.0, 805.0, 36.0], shoonya_3s4J8YL75M8BDK, 5714285]
