[1282, 940]
[paragraph, [95.0, 110.0, 629.0, 18.0], shoonya_5sAZ3KI9GXRGK8, 5776574]
[paragraph, [95.0, 128.0, 629.0, 18.0], shoonya_5sAZ3KI9GXRGK8, 5776574]
[paragraph, [95.0, 161.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 179.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 197.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 215.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 233.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 251.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 269.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 287.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 305.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 323.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 341.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 359.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 377.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 395.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 413.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [95.0, 431.0, 626.0, 18.0], shoonya_1sUE2KH21GFNDY, 5776574]
[paragraph, [97.0, 460.0, 627.0, 18.0], shoonya_3s1LQ7RYVL0BP0, 5776574]
[paragraph, [97.0, 478.0, 627.0, 18.0], shoonya_3s1LQ7RYVL0BP0, 5776574]
[paragraph, [97.0, 496.0, 627.0, 18.0], shoonya_3s1LQ7RYVL0BP0, 5776574]
[paragraph, [97.0, 514.0, 627.0, 18.0], shoonya_3s1LQ7RYVL0BP0, 5776574]
[paragraph, [99.0, 536.0, 625.0, 18.0], shoonya_0sCN28KL23NEU4, 5776574]
[paragraph, [99.0, 554.0, 625.0, 18.0], shoonya_0sCN28KL23NEU4, 5776574]
[paragraph, [99.0, 572.0, 625.0, 18.0], shoonya_0sCN28KL23NEU4, 5776574]
[paragraph, [99.0, 590.0, 625.0, 18.0], shoonya_0sCN28KL23NEU4, 5776574]
[paragraph, [99.0, 608.0, 625.0, 18.0], shoonya_0sCN28KL23NEU4, 5776574]
[paragraph, [99.0, 626.0, 625.0, 18.0], shoonya_0sCN28KL23NEU4, 5776574]
[paragraph, [99.0, 644.0, 625.0, 18.0], shoonya_0sCN28KL23NEU4, 5776574]
[paragraph, [99.0, 662.0, 625.0, 18.0], shoonya_0sCN28KL23NEU4, 5776574]
[paragraph, [99.0, 680.0, 625.0, 18.0], shoonya_0sCN28KL23NEU4, 5776574]
[paragraph, [99.0, 698.0, 625.0, 18.0], shoonya_0sCN28KL23NEU4, 5776574]
[paragraph, [99.0, 716.0, 625.0, 18.0], shoonya_0sCN28KL23NEU4, 5776574]
[paragraph, [99.0, 734.0, 625.0, 18.0], shoonya_0sCN28KL23NEU4, 5776574]
[paragraph, [99.0, 752.0, 625.0, 18.0], shoonya_0sCN28KL23NEU4, 5776574]
[paragraph, [101.0, 784.0, 624.0, 18.0], shoonya_2sMFHS080CF1HC, 5776574]
[paragraph, [101.0, 802.0, 624.0, 18.0], shoonya_2sMFHS080CF1HC, 5776574]
[paragraph, [101.0, 820.0, 624.0, 18.0], shoonya_2sMFHS080CF1HC, 5776574]
[paragraph, [101.0, 838.0, 624.0, 18.0], shoonya_2sMFHS080CF1HC, 5776574]
[paragraph, [101.0, 856.0, 624.0, 18.0], shoonya_2sMFHS080CF1HC, 5776574]
[paragraph, [101.0, 874.0, 624.0, 18.0], shoonya_2sMFHS080CF1HC, 5776574]
[paragraph, [103.0, 907.0, 625.0, 18.0], shoonya_4sZW5MSVMFVQBY, 5776574]
[paragraph, [103.0, 925.0, 625.0, 18.0], shoonya_4sZW5MSVMFVQBY, 5776574]
[paragraph, [103.0, 943.0, 625.0, 18.0], shoonya_4sZW5MSVMFVQBY, 5776574]
[paragraph, [103.0, 961.0, 625.0, 18.0], shoonya_4sZW5MSVMFVQBY, 5776574]
[paragraph, [103.0, 979.0, 625.0, 18.0], shoonya_4sZW5MSVMFVQBY, 5776574]
[paragraph, [103.0, 997.0, 625.0, 18.0], shoonya_4sZW5MSVMFVQBY, 5776574]
[paragraph, [103.0, 1015.0, 625.0, 18.0], shoonya_4sZW5MSVMFVQBY, 5776574]
[paragraph, [104.0, 1034.0, 624.0, 18.0], shoonya_6sD2X5TIBZT9EX, 5776574]
[paragraph, [104.0, 1052.0, 624.0, 18.0], shoonya_6sD2X5TIBZT9EX, 5776574]
[paragraph, [104.0, 1070.0, 624.0, 18.0], shoonya_6sD2X5TIBZT9EX, 5776574]
[paragraph, [104.0, 1088.0, 624.0, 18.0], shoonya_6sD2X5TIBZT9EX, 5776574]
