[2000, 1414]
[headline, [70.0, 93.0, 175.0, 67.5], lvkUARa2lq, 6492254]
[headline, [70.0, 160.5, 175.0, 67.5], lvkUARa2lq, 6492254]
[headline, [70.0, 228.0, 175.0, 67.5], lvkUARa2lq, 6492254]
[headline, [70.0, 295.5, 175.0, 67.5], lvkUARa2lq, 6492254]
[headline, [70.0, 363.0, 175.0, 67.5], lvkUARa2lq, 6492254]
[headline, [70.0, 430.5, 175.0, 67.5], lvkUARa2lq, 6492254]
[headline, [70.0, 498.0, 175.0, 67.5], lvkUARa2lq, 6492254]
[headline, [70.0, 633.0, 175.0, 67.5], lvkUARa2lq, 6492254]
[headline, [70.0, 700.5, 175.0, 67.5], lvkUARa2lq, 6492254]
[headline, [70.0, 768.0, 175.0, 67.5], lvkUARa2lq, 6492254]
[headline, [70.0, 835.5, 175.0, 67.5], lvkUARa2lq, 6492254]
[headline, [70.0, 903.0, 175.0, 67.5], lvkUARa2lq, 6492254]
[headline, [70.0, 1038.0, 175.0, 67.5], lvkUARa2lq, 6492254]
[headline, [70.0, 1105.5, 175.0, 67.5], lvkUARa2lq, 6492254]
[paragraph, [497.0, 131.0, 792.0, 36.0], yC-csKHLiM, 6492254]
[paragraph, [497.0, 167.0, 792.0, 36.0], yC-csKHLiM, 6492254]
[paragraph, [497.0, 203.0, 792.0, 36.0], yC-csKHLiM, 6492254]
[paragraph, [497.0, 239.0, 792.0, 36.0], yC-csKHLiM, 6492254]
[paragraph, [497.0, 275.0, 792.0, 36.0], yC-csKHLiM, 6492254]
[paragraph, [497.0, 311.0, 792.0, 36.0], yC-csKHLiM, 6492254]
[paragraph, [497.0, 347.0, 792.0, 36.0], yC-csKHLiM, 6492254]
[paragraph, [497.0, 383.0, 792.0, 36.0], yC-csKHLiM, 6492254]
[paragraph, [497.0, 419.0, 792.0, 36.0], yC-csKHLiM, 6492254]
[paragraph, [497.0, 455.0, 792.0, 36.0], yC-csKHLiM, 6492254]
[paragraph, [497.0, 491.0, 792.0, 36.0], yC-csKHLiM, 6492254]
[paragraph, [497.0, 527.0, 792.0, 36.0], yC-csKHLiM, 6492254]
[author, [503.0, 1004.0, 287.0, 36.0], 3IjGytdC_0, 6492254]
[author, [503.0, 1040.0, 287.0, 36.0], 3IjGytdC_0, 6492254]
[author, [503.0, 1076.0, 287.0, 36.0], 3IjGytdC_0, 6492254]
[author, [503.0, 1112.0, 287.0, 36.0], 3IjGytdC_0, 6492254]
[folio, [56.0, 1879.0, 264.0, 36.0], R45oXYUmG3, 6492254]
