[1034, 680]
[folio, [222.0, 56.0, 243.0, 18.0], gJuPJ9Niim, 5739925]
[folio, [222.0, 74.0, 243.0, 18.0], gJuPJ9Niim, 5739925]
[paragraph, [56.0, 120.0, 560.0, 18.0], QJnZ6k29BO, 5739925]
[paragraph, [56.0, 138.0, 560.0, 18.0], QJnZ6k29BO, 5739925]
[paragraph, [56.0, 156.0, 560.0, 18.0], QJnZ6k29BO, 5739925]
[paragraph, [56.0, 174.0, 560.0, 18.0], QJnZ6k29BO, 5739925]
[paragraph, [56.0, 192.0, 560.0, 18.0], QJnZ6k29BO, 5739925]
[paragraph, [56.0, 210.0, 560.0, 18.0], QJnZ6k29BO, 5739925]
[paragraph, [56.0, 228.0, 560.0, 18.0], QJnZ6k29BO, 5739925]
[paragraph, [63.0, 266.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 284.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 302.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 320.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 338.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 356.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 374.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 392.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 410.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 428.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 446.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 464.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 482.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 500.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 518.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 536.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 554.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 572.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 590.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 608.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 626.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 644.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 662.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 680.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 698.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 716.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 734.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 752.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 770.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 788.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 806.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 824.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 842.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 860.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 878.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 896.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 914.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 932.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
[paragraph, [63.0, 950.0, 552.0, 18.0], Ajp2ypui5q, 5739925]
