[1987, 1270]
[paragraph, [129.0, 187.0, 1018.0, 36.0], shoonya_2sCV1GTW46CAP6, 5682691]
[paragraph, [129.0, 223.0, 1018.0, 36.0], shoonya_2sCV1GTW46CAP6, 5682691]
[paragraph, [129.0, 259.0, 1018.0, 36.0], shoonya_2sCV1GTW46CAP6, 5682691]
[paragraph, [129.0, 295.0, 1018.0, 36.0], shoonya_2sCV1GTW46CAP6, 5682691]
[paragraph, [129.0, 331.0, 1018.0, 36.0], shoonya_2sCV1GTW46CAP6, 5682691]
[paragraph, [129.0, 367.0, 1018.0, 36.0], shoonya_2sCV1GTW46CAP6, 5682691]
[paragraph, [129.0, 403.0, 1018.0, 36.0], shoonya_2sCV1GTW46CAP6, 5682691]
[paragraph, [129.0, 439.0, 1018.0, 36.0], shoonya_2sCV1GTW46CAP6, 5682691]
[paragraph, [129.0, 475.0, 1018.0, 36.0], shoonya_2sCV1GTW46CAP6, 5682691]
[paragraph, [129.0, 545.0, 1019.0, 36.0], shoonya_0sLV313IJVVQUC, 5682691]
[paragraph, [129.0, 581.0, 1019.0, 36.0], shoonya_0sLV313IJVVQUC, 5682691]
[paragraph, [132.0, 648.0, 1016.0, 36.0], f_2hCr2nxM, 5682691]
[paragraph, [132.0, 684.0, 1016.0, 36.0], f_2hCr2nxM, 5682691]
[paragraph, [132.0, 720.0, 1016.0, 36.0], f_2hCr2nxM, 5682691]
[paragraph, [132.0, 756.0, 1016.0, 36.0], f_2hCr2nxM, 5682691]
[paragraph, [132.0, 792.0, 1016.0, 36.0], f_2hCr2nxM, 5682691]
[paragraph, [132.0, 828.0, 1016.0, 36.0], f_2hCr2nxM, 5682691]
[paragraph, [132.0, 864.0, 1016.0, 36.0], f_2hCr2nxM, 5682691]
[paragraph, [132.0, 900.0, 1016.0, 36.0], f_2hCr2nxM, 5682691]
[paragraph, [132.0, 936.0, 1016.0, 36.0], f_2hCr2nxM, 5682691]
[paragraph, [132.0, 972.0, 1016.0, 36.0], f_2hCr2nxM, 5682691]
[paragraph, [132.0, 1008.0, 1016.0, 36.0], f_2hCr2nxM, 5682691]
[paragraph, [132.0, 1044.0, 1016.0, 36.0], f_2hCr2nxM, 5682691]
[paragraph, [132.0, 1080.0, 1016.0, 36.0], f_2hCr2nxM, 5682691]
[paragraph, [132.0, 1116.0, 1016.0, 36.0], f_2hCr2nxM, 5682691]
[paragraph, [130.0, 1159.0, 1014.0, 36.0], shoonya_1sNDKYTP5RZNVQ, 5682691]
[paragraph, [130.0, 1195.0, 1014.0, 36.0], shoonya_1sNDKYTP5RZNVQ, 5682691]
[paragraph, [130.0, 1231.0, 1014.0, 36.0], shoonya_1sNDKYTP5RZNVQ, 5682691]
[paragraph, [130.0, 1267.0, 1014.0, 36.0], shoonya_1sNDKYTP5RZNVQ, 5682691]
[paragraph, [130.0, 1303.0, 1014.0, 36.0], shoonya_1sNDKYTP5RZNVQ, 5682691]
[paragraph, [130.0, 1339.0, 1014.0, 36.0], shoonya_1sNDKYTP5RZNVQ, 5682691]
[paragraph, [130.0, 1375.0, 1014.0, 36.0], shoonya_1sNDKYTP5RZNVQ, 5682691]
[paragraph, [130.0, 1411.0, 1014.0, 36.0], shoonya_1sNDKYTP5RZNVQ, 5682691]
[paragraph, [126.0, 1469.0, 1019.0, 36.0], shoonya_3sVCBZF7XUVQZN, 5682691]
[paragraph, [126.0, 1505.0, 1019.0, 36.0], shoonya_3sVCBZF7XUVQZN, 5682691]
[paragraph, [126.0, 1541.0, 1019.0, 36.0], shoonya_3sVCBZF7XUVQZN, 5682691]
[paragraph, [126.0, 1577.0, 1019.0, 36.0], shoonya_3sVCBZF7XUVQZN, 5682691]
[paragraph, [126.0, 1613.0, 1019.0, 36.0], shoonya_3sVCBZF7XUVQZN, 5682691]
[paragraph, [126.0, 1649.0, 1019.0, 36.0], shoonya_3sVCBZF7XUVQZN, 5682691]
[paragraph, [126.0, 1685.0, 1019.0, 36.0], shoonya_3sVCBZF7XUVQZN, 5682691]
[paragraph, [126.0, 1721.0, 1019.0, 36.0], shoonya_3sVCBZF7XUVQZN, 5682691]
[paragraph, [126.0, 1757.0, 1019.0, 36.0], shoonya_3sVCBZF7XUVQZN, 5682691]
[paragraph, [126.0, 1793.0, 1019.0, 36.0], shoonya_3sVCBZF7XUVQZN, 5682691]
[paragraph, [126.0, 1829.0, 1019.0, 36.0], shoonya_3sVCBZF7XUVQZN, 5682691]
