[1162, 749]
[folio, [302.0, 73.0, 154.0, 18.0], shoonya_2s1YC6UPAE3GFS, 5699513]
[paragraph, [76.0, 117.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 135.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 153.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 171.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 189.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 207.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 225.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 243.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 261.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 279.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 297.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 315.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 333.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 351.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 369.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 387.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 405.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 423.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 441.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 459.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 477.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 495.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 513.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 531.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 549.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [76.0, 567.0, 592.0, 18.0], shoonya_0s5WLH6L1PRGT1, 5699513]
[paragraph, [81.0, 601.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[paragraph, [81.0, 619.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[paragraph, [81.0, 637.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[paragraph, [81.0, 655.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[paragraph, [81.0, 673.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[paragraph, [81.0, 691.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[paragraph, [81.0, 709.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[paragraph, [81.0, 727.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[paragraph, [81.0, 745.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[paragraph, [81.0, 763.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[paragraph, [81.0, 781.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[paragraph, [81.0, 799.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[paragraph, [81.0, 817.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[paragraph, [81.0, 835.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[paragraph, [81.0, 853.0, 586.0, 18.0], shoonya_1s7T0Q0AFFKMZH, 5699513]
[headline, [122.0, 914.0, 492.0, 25.5], baPonDMhN3, 5699513]
[headline, [122.0, 939.5, 492.0, 25.5], baPonDMhN3, 5699513]
[headline, [122.0, 965.0, 492.0, 25.5], baPonDMhN3, 5699513]
[paragraph, [84.0, 1017.0, 584.0, 18.0], shoonya_3sRSIXI1CYALRV, 5699513]
[paragraph, [84.0, 1035.0, 584.0, 18.0], shoonya_3sRSIXI1CYALRV, 5699513]
[paragraph, [84.0, 1053.0, 584.0, 18.0], shoonya_3sRSIXI1CYALRV, 5699513]
