[792, 612]
[folio, [287.0, 57.0, 35.0, 18.0], shoonya_2s9GZS7TMZR0IB, 5689612]
[paragraph, [69.0, 84.0, 213.0, 18.0], MgbeVaQht9, 5689612]
[paragraph, [70.0, 104.0, 446.0, 18.0], shoonya_4sE07JB2AAKRHE, 5689612]
[unordered-list, [69.0, 124.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 142.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 160.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 178.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 196.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 214.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 232.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 250.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 268.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 286.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 304.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 322.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 340.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 358.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 376.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 394.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 412.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 430.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 448.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 466.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 484.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 502.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 520.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 538.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 556.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 574.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 592.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 610.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 628.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 646.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
[unordered-list, [69.0, 664.0, 479.0, 18.0], shoonya_0sXYEP71KLRA78, 5689612]
