[842, 596]
[headline, [52.0, 51.0, 490.0, 25.5], shoonya_6sS5F3OGHK5VMM, 5765653]
[paragraph, [48.0, 125.0, 496.0, 18.0], shoonya_4sODSVAXGUADWA, 5765653]
[paragraph, [48.0, 143.0, 496.0, 18.0], shoonya_4sODSVAXGUADWA, 5765653]
[paragraph, [48.0, 161.0, 496.0, 18.0], shoonya_4sODSVAXGUADWA, 5765653]
[paragraph, [48.0, 179.0, 496.0, 18.0], shoonya_4sODSVAXGUADWA, 5765653]
[paragraph, [48.0, 197.0, 496.0, 18.0], shoonya_4sODSVAXGUADWA, 5765653]
[paragraph, [48.0, 215.0, 496.0, 18.0], shoonya_4sODSVAXGUADWA, 5765653]
[paragraph, [48.0, 272.0, 497.0, 18.0], E2O2f4lFtG, 5765653]
[paragraph, [48.0, 290.0, 497.0, 18.0], E2O2f4lFtG, 5765653]
[paragraph, [48.0, 308.0, 497.0, 18.0], E2O2f4lFtG, 5765653]
[paragraph, [48.0, 326.0, 497.0, 18.0], E2O2f4lFtG, 5765653]
[paragraph, [48.0, 344.0, 497.0, 18.0], E2O2f4lFtG, 5765653]
[paragraph, [50.0, 400.0, 496.0, 18.0], shoonya_0s8C95796H1PC3, 5765653]
[paragraph, [50.0, 418.0, 496.0, 18.0], shoonya_0s8C95796H1PC3, 5765653]
[paragraph, [50.0, 436.0, 496.0, 18.0], shoonya_0s8C95796H1PC3, 5765653]
[paragraph, [50.0, 454.0, 496.0, 18.0], shoonya_0s8C95796H1PC3, 5765653]
[paragraph, [50.0, 472.0, 496.0, 18.0], shoonya_0s8C95796H1PC3, 5765653]
[paragraph, [50.0, 490.0, 496.0, 18.0], shoonya_0s8C95796H1PC3, 5765653]
[paragraph, [50.0, 508.0, 496.0, 18.0], shoonya_0s8C95796H1PC3, 5765653]
[paragraph, [50.0, 526.0, 496.0, 18.0], shoonya_0s8C95796H1PC3, 5765653]
[paragraph, [50.0, 544.0, 496.0, 18.0], shoonya_0s8C95796H1PC3, 5765653]
[paragraph, [50.0, 562.0, 496.0, 18.0], shoonya_0s8C95796H1PC3, 5765653]
[paragraph, [50.0, 580.0, 496.0, 18.0], shoonya_0s8C95796H1PC3, 5765653]
[paragraph, [50.0, 598.0, 496.0, 18.0], shoonya_0s8C95796H1PC3, 5765653]
[paragraph, [48.0, 646.0, 497.0, 18.0], shoonya_1sSNZFPKBUQ2A4, 5765653]
[paragraph, [48.0, 664.0, 497.0, 18.0], shoonya_1sSNZFPKBUQ2A4, 5765653]
[paragraph, [48.0, 682.0, 497.0, 18.0], shoonya_1sSNZFPKBUQ2A4, 5765653]
[paragraph, [48.0, 700.0, 497.0, 18.0], shoonya_1sSNZFPKBUQ2A4, 5765653]
[paragraph, [48.0, 718.0, 497.0, 18.0], shoonya_1sSNZFPKBUQ2A4, 5765653]
[paragraph, [48.0, 736.0, 497.0, 18.0], shoonya_1sSNZFPKBUQ2A4, 5765653]
[paragraph, [48.0, 754.0, 497.0, 18.0], shoonya_1sSNZFPKBUQ2A4, 5765653]
