[1518, 1075]
[paragraph, [92.0, 168.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 204.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 240.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 276.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 312.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 348.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 384.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 420.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 456.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 492.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 528.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 564.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 600.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 636.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 672.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 708.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 744.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [92.0, 780.0, 426.0, 36.0], shoonya_1s6BB9J29SY9GN, 5722658]
[paragraph, [534.0, 173.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 209.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 245.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 281.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 317.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 353.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 389.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 425.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 461.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 497.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 533.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 569.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 605.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 641.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 677.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 713.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 749.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 785.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 821.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [534.0, 857.0, 428.0, 36.0], shoonya_0s55ZF96O2PGOX, 5722658]
[paragraph, [91.0, 841.0, 425.0, 36.0], shoonya_4sS0V4SDG95GRJ, 5722658]
[paragraph, [91.0, 877.0, 425.0, 36.0], shoonya_4sS0V4SDG95GRJ, 5722658]
[paragraph, [91.0, 913.0, 425.0, 36.0], shoonya_4sS0V4SDG95GRJ, 5722658]
[paragraph, [91.0, 949.0, 425.0, 36.0], shoonya_4sS0V4SDG95GRJ, 5722658]
[paragraph, [91.0, 985.0, 425.0, 36.0], shoonya_4sS0V4SDG95GRJ, 5722658]
[paragraph, [535.0, 930.0, 427.0, 36.0], shoonya_2s7I4ADFI4ASI3, 5722658]
[paragraph, [535.0, 966.0, 427.0, 36.0], shoonya_2s7I4ADFI4ASI3, 5722658]
[paragraph, [535.0, 1002.0, 427.0, 36.0], shoonya_2s7I4ADFI4ASI3, 5722658]
[paragraph, [535.0, 1038.0, 427.0, 36.0], shoonya_2s7I4ADFI4ASI3, 5722658]
[paragraph, [535.0, 1074.0, 427.0, 36.0], shoonya_2s7I4ADFI4ASI3, 5722658]
[paragraph, [91.0, 1023.0, 427.0, 36.0], shoonya_5s5Z4TGWTKU8FC, 5722658]
[paragraph, [91.0, 1059.0, 427.0, 36.0], shoonya_5s5Z4TGWTKU8FC, 5722658]
[paragraph, [91.0, 1095.0, 427.0, 36.0], shoonya_5s5Z4TGWTKU8FC, 5722658]
[paragraph, [91.0, 1131.0, 427.0, 36.0], shoonya_5s5Z4TGWTKU8FC, 5722658]
[paragraph, [91.0, 1167.0, 427.0, 36.0], shoonya_5s5Z4TGWTKU8FC, 5722658]
[paragraph, [91.0, 1203.0, 427.0, 36.0], shoonya_5s5Z4TGWTKU8FC, 5722658]
[paragraph, [91.0, 1239.0, 427.0, 36.0], shoonya_5s5Z4TGWTKU8FC, 5722658]
[paragraph, [91.0, 1275.0, 427.0, 36.0], shoonya_5s5Z4TGWTKU8FC, 5722658]
[paragraph, [534.0, 1144.0, 428.0, 36.0], shoonya_3s6MWYD8B3MTR0, 5722658]
[paragraph, [534.0, 1180.0, 428.0, 36.0], shoonya_3s6MWYD8B3MTR0, 5722658]
[paragraph, [534.0, 1216.0, 428.0, 36.0], shoonya_3s6MWYD8B3MTR0, 5722658]
[paragraph, [534.0, 1252.0, 428.0, 36.0], shoonya_3s6MWYD8B3MTR0, 5722658]
[paragraph, [534.0, 1288.0, 428.0, 36.0], shoonya_3s6MWYD8B3MTR0, 5722658]
[folio, [600.0, 1386.0, 280.0, 36.0], ns2R3JxYPs, 5722658]
