[3300, 2550]
[paragraph, [263.0, 270.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 322.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 375.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 427.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 480.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 532.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 585.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 637.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 690.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 742.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 795.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 847.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 900.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 952.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1005.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1057.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1110.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1162.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1215.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1267.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1320.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1372.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1425.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1477.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1530.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1582.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1635.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1687.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1740.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1792.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1845.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1897.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 1950.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 2002.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 2055.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 2107.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 2160.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 2212.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 2265.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 2317.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 2370.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 2422.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 2475.0, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [263.0, 2527.5, 2038.0, 52.5], shoonya_1sI4MXR62PKNKC, 5720093]
[paragraph, [280.0, 2617.0, 2008.0, 52.5], EGA9pGAxsU, 5720093]
[paragraph, [280.0, 2669.5, 2008.0, 52.5], EGA9pGAxsU, 5720093]
[paragraph, [280.0, 2722.0, 2008.0, 52.5], EGA9pGAxsU, 5720093]
[paragraph, [280.0, 2774.5, 2008.0, 52.5], EGA9pGAxsU, 5720093]
[paragraph, [280.0, 2827.0, 2008.0, 52.5], EGA9pGAxsU, 5720093]
[paragraph, [280.0, 2879.5, 2008.0, 52.5], EGA9pGAxsU, 5720093]
