[2230, 1704]
[folio, [80.0, 174.0, 244.0, 36.0], KQMr93lWYl, 5653861]
[headline, [208.0, 331.0, 1334.0, 67.5], shoonya_9s5CJVMRHGJSGJ, 5653861]
[headline, [208.0, 398.5, 1334.0, 67.5], shoonya_9s5CJVMRHGJSGJ, 5653861]
[headline, [208.0, 466.0, 1334.0, 67.5], shoonya_9s5CJVMRHGJSGJ, 5653861]
[paragraph, [60.0, 604.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [60.0, 640.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [60.0, 676.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [60.0, 712.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [60.0, 748.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [60.0, 784.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [60.0, 820.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [60.0, 856.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [60.0, 892.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [60.0, 928.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [60.0, 964.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [60.0, 1000.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [60.0, 1036.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [60.0, 1072.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [60.0, 1108.0, 425.0, 36.0], shoonya_3sP650ALOJOZ1P, 5653861]
[paragraph, [1223.0, 616.0, 430.0, 36.0], shoonya_5s5XUUP4NLCZ18, 5653861]
[paragraph, [1223.0, 652.0, 430.0, 36.0], shoonya_5s5XUUP4NLCZ18, 5653861]
[paragraph, [1223.0, 688.0, 430.0, 36.0], shoonya_5s5XUUP4NLCZ18, 5653861]
[paragraph, [1223.0, 724.0, 430.0, 36.0], shoonya_5s5XUUP4NLCZ18, 5653861]
[paragraph, [1223.0, 760.0, 430.0, 36.0], shoonya_5s5XUUP4NLCZ18, 5653861]
[paragraph, [1223.0, 796.0, 430.0, 36.0], shoonya_5s5XUUP4NLCZ18, 5653861]
[paragraph, [1223.0, 832.0, 430.0, 36.0], shoonya_5s5XUUP4NLCZ18, 5653861]
[paragraph, [1223.0, 895.0, 433.0, 36.0], shoonya_4sB1YQW4VJ8KPF, 5653861]
[paragraph, [1223.0, 931.0, 433.0, 36.0], shoonya_4sB1YQW4VJ8KPF, 5653861]
[paragraph, [1223.0, 967.0, 433.0, 36.0], shoonya_4sB1YQW4VJ8KPF, 5653861]
[paragraph, [1223.0, 1003.0, 433.0, 36.0], shoonya_4sB1YQW4VJ8KPF, 5653861]
[paragraph, [1223.0, 1039.0, 433.0, 36.0], shoonya_4sB1YQW4VJ8KPF, 5653861]
[paragraph, [1223.0, 1075.0, 433.0, 36.0], shoonya_4sB1YQW4VJ8KPF, 5653861]
[paragraph, [1223.0, 1111.0, 433.0, 36.0], shoonya_4sB1YQW4VJ8KPF, 5653861]
[paragraph, [67.0, 1165.0, 788.0, 36.0], shoonya_6sKV62Z5WARW3S, 5653861]
