[2339, 1653]
[folio, [238.0, 333.0, 279.0, 36.0], shoonya_6sER45HZHJAMPZ, 5736096]
[folio, [1275.0, 334.0, 140.0, 36.0], RwkcxcevXe, 5736096]
[paragraph, [835.0, 388.0, 581.0, 36.0], shoonya_2s2QBKJYLKDFIY, 5736096]
[paragraph, [237.0, 389.0, 579.0, 36.0], shoonya_0sYDB9ZZR882JW, 5736096]
[paragraph, [237.0, 425.0, 579.0, 36.0], shoonya_0sYDB9ZZR882JW, 5736096]
[paragraph, [237.0, 461.0, 579.0, 36.0], shoonya_0sYDB9ZZR882JW, 5736096]
[paragraph, [237.0, 497.0, 579.0, 36.0], shoonya_0sYDB9ZZR882JW, 5736096]
[paragraph, [237.0, 533.0, 579.0, 36.0], shoonya_0sYDB9ZZR882JW, 5736096]
[paragraph, [237.0, 569.0, 579.0, 36.0], shoonya_0sYDB9ZZR882JW, 5736096]
[paragraph, [237.0, 605.0, 579.0, 36.0], shoonya_0sYDB9ZZR882JW, 5736096]
[paragraph, [237.0, 641.0, 579.0, 36.0], shoonya_0sYDB9ZZR882JW, 5736096]
[paragraph, [237.0, 677.0, 579.0, 36.0], shoonya_0sYDB9ZZR882JW, 5736096]
[paragraph, [237.0, 713.0, 579.0, 36.0], shoonya_0sYDB9ZZR882JW, 5736096]
[paragraph, [237.0, 749.0, 579.0, 36.0], shoonya_0sYDB9ZZR882JW, 5736096]
[paragraph, [237.0, 785.0, 579.0, 36.0], shoonya_0sYDB9ZZR882JW, 5736096]
[paragraph, [827.0, 435.0, 598.0, 36.0], FgCovzmZwx, 5736096]
[paragraph, [827.0, 471.0, 598.0, 36.0], FgCovzmZwx, 5736096]
[paragraph, [827.0, 507.0, 598.0, 36.0], FgCovzmZwx, 5736096]
[paragraph, [827.0, 543.0, 598.0, 36.0], FgCovzmZwx, 5736096]
[paragraph, [827.0, 579.0, 598.0, 36.0], FgCovzmZwx, 5736096]
[paragraph, [827.0, 615.0, 598.0, 36.0], FgCovzmZwx, 5736096]
[paragraph, [827.0, 651.0, 598.0, 36.0], FgCovzmZwx, 5736096]
[paragraph, [827.0, 687.0, 598.0, 36.0], FgCovzmZwx, 5736096]
[paragraph, [827.0, 723.0, 598.0, 36.0], FgCovzmZwx, 5736096]
[paragraph, [827.0, 759.0, 598.0, 36.0], FgCovzmZwx, 5736096]
[paragraph, [827.0, 795.0, 598.0, 36.0], FgCovzmZwx, 5736096]
[sidebar, [65.0, 443.0, 129.0, 36.0], shoonya_4s0RWZU9Q8DSBQ, 5736096]
[figure-caption, [1258.0, 1305.0, 168.0, 36.0], shoonya_5sT8505LJ884TJ, 5736096]
[figure-caption, [1258.0, 1341.0, 168.0, 36.0], shoonya_5sT8505LJ884TJ, 5736096]
[figure-caption, [1258.0, 1377.0, 168.0, 36.0], shoonya_5sT8505LJ884TJ, 5736096]
[figure-caption, [1258.0, 1413.0, 168.0, 36.0], shoonya_5sT8505LJ884TJ, 5736096]
[folio, [1188.0, 1965.0, 229.0, 36.0], Ei0fUZQtOS, 5736096]
