[2176, 1464]
[folio, [135.0, 126.0, 226.0, 36.0], Baw11GYha3, 5655200]
[paragraph, [139.0, 237.0, 1192.0, 36.0], shoonya_1s2MTI04SROQ64, 5655200]
[paragraph, [139.0, 273.0, 1192.0, 36.0], shoonya_1s2MTI04SROQ64, 5655200]
[paragraph, [139.0, 309.0, 1192.0, 36.0], shoonya_1s2MTI04SROQ64, 5655200]
[paragraph, [139.0, 345.0, 1192.0, 36.0], shoonya_1s2MTI04SROQ64, 5655200]
[paragraph, [139.0, 381.0, 1192.0, 36.0], shoonya_1s2MTI04SROQ64, 5655200]
[paragraph, [139.0, 417.0, 1192.0, 36.0], shoonya_1s2MTI04SROQ64, 5655200]
[paragraph, [139.0, 453.0, 1192.0, 36.0], shoonya_1s2MTI04SROQ64, 5655200]
[paragraph, [139.0, 489.0, 1192.0, 36.0], shoonya_1s2MTI04SROQ64, 5655200]
[paragraph, [139.0, 525.0, 1192.0, 36.0], shoonya_1s2MTI04SROQ64, 5655200]
[paragraph, [139.0, 561.0, 1192.0, 36.0], shoonya_1s2MTI04SROQ64, 5655200]
[paragraph, [139.0, 597.0, 1192.0, 36.0], shoonya_1s2MTI04SROQ64, 5655200]
[paragraph, [138.0, 685.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 721.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 757.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 793.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 829.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 865.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 901.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 937.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 973.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1009.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1045.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1081.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1117.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1153.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1189.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1225.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1261.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1297.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1333.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1369.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1405.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1441.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1477.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1513.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1549.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1585.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1621.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1657.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1693.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1729.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1765.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[paragraph, [138.0, 1801.0, 1191.0, 36.0], shoonya_0sIHNC32DIQB8J, 5655200]
[reference, [147.0, 1876.0, 856.0, 36.0], shoonya_2sGNHM9B31JTXG, 5655200]
[reference, [147.0, 1912.0, 856.0, 36.0], shoonya_2sGNHM9B31JTXG, 5655200]
[reference, [147.0, 1948.0, 856.0, 36.0], shoonya_2sGNHM9B31JTXG, 5655200]
[reference, [147.0, 1984.0, 856.0, 36.0], shoonya_2sGNHM9B31JTXG, 5655200]
