[792, 612]
[paragraph, [95.0, 44.0, 448.0, 18.0], IIcBRh8OHN, 5770537]
[paragraph, [95.0, 62.0, 448.0, 18.0], IIcBRh8OHN, 5770537]
[paragraph, [95.0, 80.0, 448.0, 18.0], IIcBRh8OHN, 5770537]
[paragraph, [95.0, 98.0, 448.0, 18.0], IIcBRh8OHN, 5770537]
[paragraph, [95.0, 116.0, 448.0, 18.0], IIcBRh8OHN, 5770537]
[paragraph, [95.0, 134.0, 448.0, 18.0], IIcBRh8OHN, 5770537]
[paragraph, [95.0, 152.0, 448.0, 18.0], IIcBRh8OHN, 5770537]
[paragraph, [95.0, 170.0, 448.0, 18.0], IIcBRh8OHN, 5770537]
[paragraph, [110.0, 192.0, 424.0, 18.0], shoonya_2s7IDHYKZTW989, 5770537]
[paragraph, [110.0, 210.0, 424.0, 18.0], shoonya_2s7IDHYKZTW989, 5770537]
[paragraph, [110.0, 228.0, 424.0, 18.0], shoonya_2s7IDHYKZTW989, 5770537]
[paragraph, [110.0, 246.0, 424.0, 18.0], shoonya_2s7IDHYKZTW989, 5770537]
[paragraph, [110.0, 264.0, 424.0, 18.0], shoonya_2s7IDHYKZTW989, 5770537]
[paragraph, [110.0, 282.0, 424.0, 18.0], shoonya_2s7IDHYKZTW989, 5770537]
[paragraph, [111.0, 383.0, 424.0, 18.0], shoonya_1sPSH9TY3NAC7Y, 5770537]
[paragraph, [111.0, 401.0, 424.0, 18.0], shoonya_1sPSH9TY3NAC7Y, 5770537]
[paragraph, [111.0, 419.0, 424.0, 18.0], shoonya_1sPSH9TY3NAC7Y, 5770537]
[paragraph, [111.0, 437.0, 424.0, 18.0], shoonya_1sPSH9TY3NAC7Y, 5770537]
[paragraph, [111.0, 455.0, 424.0, 18.0], shoonya_1sPSH9TY3NAC7Y, 5770537]
[paragraph, [111.0, 473.0, 424.0, 18.0], shoonya_1sPSH9TY3NAC7Y, 5770537]
[paragraph, [111.0, 491.0, 424.0, 18.0], shoonya_1sPSH9TY3NAC7Y, 5770537]
[paragraph, [111.0, 509.0, 424.0, 18.0], shoonya_1sPSH9TY3NAC7Y, 5770537]
[paragraph, [111.0, 527.0, 424.0, 18.0], shoonya_1sPSH9TY3NAC7Y, 5770537]
[paragraph, [106.0, 563.0, 439.0, 18.0], JKDACapQnj, 5770537]
[paragraph, [106.0, 581.0, 439.0, 18.0], JKDACapQnj, 5770537]
[paragraph, [106.0, 599.0, 439.0, 18.0], JKDACapQnj, 5770537]
[paragraph, [106.0, 617.0, 439.0, 18.0], JKDACapQnj, 5770537]
[paragraph, [106.0, 635.0, 439.0, 18.0], JKDACapQnj, 5770537]
[paragraph, [106.0, 653.0, 439.0, 18.0], JKDACapQnj, 5770537]
[paragraph, [106.0, 671.0, 439.0, 18.0], JKDACapQnj, 5770537]
