[1875, 1200]
[folio, [233.0, 231.0, 753.0, 36.0], rJYhoBo0xn, 5710575]
[paragraph, [144.0, 297.0, 848.0, 36.0], 9lRGfh-Gie, 5710575]
[paragraph, [144.0, 333.0, 848.0, 36.0], 9lRGfh-Gie, 5710575]
[paragraph, [144.0, 369.0, 848.0, 36.0], 9lRGfh-Gie, 5710575]
[paragraph, [160.0, 431.0, 825.0, 36.0], QByKoMHXMn, 5710575]
[paragraph, [160.0, 467.0, 825.0, 36.0], QByKoMHXMn, 5710575]
[paragraph, [160.0, 503.0, 825.0, 36.0], QByKoMHXMn, 5710575]
[paragraph, [160.0, 539.0, 825.0, 36.0], QByKoMHXMn, 5710575]
[paragraph, [160.0, 575.0, 825.0, 36.0], QByKoMHXMn, 5710575]
[paragraph, [160.0, 611.0, 825.0, 36.0], QByKoMHXMn, 5710575]
[paragraph, [160.0, 647.0, 825.0, 36.0], QByKoMHXMn, 5710575]
[paragraph, [160.0, 683.0, 825.0, 36.0], QByKoMHXMn, 5710575]
[paragraph, [160.0, 719.0, 825.0, 36.0], QByKoMHXMn, 5710575]
[paragraph, [161.0, 765.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 801.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 837.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 873.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 909.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 945.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 981.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 1017.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 1053.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 1089.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 1125.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 1161.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 1197.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 1233.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 1269.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 1305.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 1341.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [161.0, 1377.0, 839.0, 36.0], shoonya_1sCXAHS44KEN7H, 5710575]
[paragraph, [157.0, 1445.0, 845.0, 36.0], shoonya_0s1H6IZ2FQLAY0, 5710575]
[paragraph, [157.0, 1481.0, 845.0, 36.0], shoonya_0s1H6IZ2FQLAY0, 5710575]
[paragraph, [157.0, 1517.0, 845.0, 36.0], shoonya_0s1H6IZ2FQLAY0, 5710575]
[paragraph, [157.0, 1553.0, 845.0, 36.0], shoonya_0s1H6IZ2FQLAY0, 5710575]
[paragraph, [157.0, 1589.0, 845.0, 36.0], shoonya_0s1H6IZ2FQLAY0, 5710575]
