[1638, 1048]
[folio, [157.0, 102.0, 87.0, 36.0], shoonya_0sLYYYINL6TJUH, 5681093]
[paragraph, [91.0, 158.0, 847.0, 36.0], shoonya_3sWZHTQ7U6I5GG, 5681093]
[paragraph, [91.0, 194.0, 847.0, 36.0], shoonya_3sWZHTQ7U6I5GG, 5681093]
[paragraph, [90.0, 254.0, 850.0, 36.0], shoonya_4sZNE67GN60XB0, 5681093]
[paragraph, [90.0, 290.0, 850.0, 36.0], shoonya_4sZNE67GN60XB0, 5681093]
[paragraph, [90.0, 326.0, 850.0, 36.0], shoonya_4sZNE67GN60XB0, 5681093]
[paragraph, [90.0, 362.0, 850.0, 36.0], shoonya_4sZNE67GN60XB0, 5681093]
[paragraph, [90.0, 398.0, 850.0, 36.0], shoonya_4sZNE67GN60XB0, 5681093]
[paragraph, [90.0, 434.0, 850.0, 36.0], shoonya_4sZNE67GN60XB0, 5681093]
[paragraph, [90.0, 470.0, 850.0, 36.0], shoonya_4sZNE67GN60XB0, 5681093]
[paragraph, [90.0, 506.0, 850.0, 36.0], shoonya_4sZNE67GN60XB0, 5681093]
[paragraph, [90.0, 542.0, 850.0, 36.0], shoonya_4sZNE67GN60XB0, 5681093]
[paragraph, [90.0, 578.0, 850.0, 36.0], shoonya_4sZNE67GN60XB0, 5681093]
[paragraph, [103.0, 639.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [103.0, 675.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [103.0, 711.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [103.0, 747.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [103.0, 783.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [103.0, 819.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [103.0, 855.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [103.0, 891.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [103.0, 927.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [103.0, 963.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [103.0, 999.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [103.0, 1035.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [103.0, 1071.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [103.0, 1107.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [103.0, 1143.0, 841.0, 36.0], e9Hia_562S, 5681093]
[paragraph, [106.0, 1196.0, 843.0, 36.0], FcgenjfAaA, 5681093]
[paragraph, [106.0, 1232.0, 843.0, 36.0], FcgenjfAaA, 5681093]
[paragraph, [106.0, 1268.0, 843.0, 36.0], FcgenjfAaA, 5681093]
[paragraph, [106.0, 1304.0, 843.0, 36.0], FcgenjfAaA, 5681093]
[paragraph, [106.0, 1340.0, 843.0, 36.0], FcgenjfAaA, 5681093]
[paragraph, [106.0, 1376.0, 843.0, 36.0], FcgenjfAaA, 5681093]
[paragraph, [106.0, 1412.0, 843.0, 36.0], FcgenjfAaA, 5681093]
[paragraph, [106.0, 1448.0, 843.0, 36.0], FcgenjfAaA, 5681093]
[paragraph, [106.0, 1484.0, 843.0, 36.0], FcgenjfAaA, 5681093]
