[1755, 1240]
[paragraph, [217.0, 145.0, 882.0, 36.0], shoonya_2sVNE3XUNL6V7N, 5693462]
[paragraph, [217.0, 181.0, 882.0, 36.0], shoonya_2sVNE3XUNL6V7N, 5693462]
[paragraph, [217.0, 217.0, 882.0, 36.0], shoonya_2sVNE3XUNL6V7N, 5693462]
[paragraph, [217.0, 253.0, 882.0, 36.0], shoonya_2sVNE3XUNL6V7N, 5693462]
[paragraph, [214.0, 336.0, 889.0, 36.0], shoonya_1sGCAK12IIRO3C, 5693462]
[paragraph, [214.0, 372.0, 889.0, 36.0], shoonya_1sGCAK12IIRO3C, 5693462]
[paragraph, [214.0, 408.0, 889.0, 36.0], shoonya_1sGCAK12IIRO3C, 5693462]
[paragraph, [214.0, 444.0, 889.0, 36.0], shoonya_1sGCAK12IIRO3C, 5693462]
[paragraph, [214.0, 480.0, 889.0, 36.0], shoonya_1sGCAK12IIRO3C, 5693462]
[paragraph, [214.0, 516.0, 889.0, 36.0], shoonya_1sGCAK12IIRO3C, 5693462]
[paragraph, [214.0, 552.0, 889.0, 36.0], shoonya_1sGCAK12IIRO3C, 5693462]
[paragraph, [214.0, 588.0, 889.0, 36.0], shoonya_1sGCAK12IIRO3C, 5693462]
[paragraph, [214.0, 624.0, 889.0, 36.0], shoonya_1sGCAK12IIRO3C, 5693462]
[paragraph, [214.0, 660.0, 889.0, 36.0], shoonya_1sGCAK12IIRO3C, 5693462]
[paragraph, [214.0, 696.0, 889.0, 36.0], shoonya_1sGCAK12IIRO3C, 5693462]
[paragraph, [214.0, 732.0, 889.0, 36.0], shoonya_1sGCAK12IIRO3C, 5693462]
[paragraph, [214.0, 904.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 940.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 976.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 1012.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 1048.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 1084.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 1120.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 1156.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 1192.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 1228.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 1264.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 1300.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 1336.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 1372.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 1408.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 1444.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
[paragraph, [214.0, 1480.0, 886.0, 36.0], shoonya_0sVB4OQ35RPVYJ, 5693462]
