[1754, 1241]
[paragraph, [220.0, 142.0, 873.0, 36.0], vV3QOnW8dX, 6471247]
[paragraph, [220.0, 178.0, 873.0, 36.0], vV3QOnW8dX, 6471247]
[paragraph, [210.0, 258.0, 887.0, 36.0], sIBVSu8gys, 6471247]
[paragraph, [212.0, 316.0, 404.0, 36.0], R5NupuJ-q6, 6471247]
[paragraph, [212.0, 373.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [212.0, 409.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [212.0, 445.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [212.0, 481.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [212.0, 517.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [212.0, 553.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [212.0, 589.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [212.0, 625.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [212.0, 661.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [212.0, 697.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [212.0, 733.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [212.0, 769.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [212.0, 805.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [212.0, 841.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [212.0, 877.0, 887.0, 36.0], Z0BYfh-_XB, 6471247]
[paragraph, [209.0, 943.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 979.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 1015.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 1051.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 1087.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 1123.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 1159.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 1195.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 1231.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 1267.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 1303.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 1339.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 1375.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 1411.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 1447.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[paragraph, [209.0, 1483.0, 893.0, 36.0], shoonya_0sSCBYWTRF4IT4, 6471247]
[reference, [213.0, 1540.0, 881.0, 36.0], vUuym1-WM5, 6471247]
