[1723, 1092]
[paragraph, [103.0, 103.0, 880.0, 36.0], shoonya_0sMSESB6MYSPYX, 5681713]
[paragraph, [103.0, 139.0, 880.0, 36.0], shoonya_0sMSESB6MYSPYX, 5681713]
[paragraph, [103.0, 175.0, 880.0, 36.0], shoonya_0sMSESB6MYSPYX, 5681713]
[paragraph, [103.0, 211.0, 880.0, 36.0], shoonya_0sMSESB6MYSPYX, 5681713]
[paragraph, [103.0, 247.0, 880.0, 36.0], shoonya_0sMSESB6MYSPYX, 5681713]
[paragraph, [103.0, 283.0, 880.0, 36.0], shoonya_0sMSESB6MYSPYX, 5681713]
[paragraph, [103.0, 319.0, 880.0, 36.0], shoonya_0sMSESB6MYSPYX, 5681713]
[paragraph, [102.0, 379.0, 888.0, 36.0], shoonya_1sQQB89IVJEX1T, 5681713]
[paragraph, [102.0, 415.0, 888.0, 36.0], shoonya_1sQQB89IVJEX1T, 5681713]
[paragraph, [102.0, 451.0, 888.0, 36.0], shoonya_1sQQB89IVJEX1T, 5681713]
[paragraph, [102.0, 487.0, 888.0, 36.0], shoonya_1sQQB89IVJEX1T, 5681713]
[paragraph, [102.0, 523.0, 888.0, 36.0], shoonya_1sQQB89IVJEX1T, 5681713]
[paragraph, [102.0, 559.0, 888.0, 36.0], shoonya_1sQQB89IVJEX1T, 5681713]
[paragraph, [102.0, 595.0, 888.0, 36.0], shoonya_1sQQB89IVJEX1T, 5681713]
[paragraph, [102.0, 631.0, 888.0, 36.0], shoonya_1sQQB89IVJEX1T, 5681713]
[paragraph, [102.0, 667.0, 888.0, 36.0], shoonya_1sQQB89IVJEX1T, 5681713]
[paragraph, [102.0, 703.0, 888.0, 36.0], shoonya_1sQQB89IVJEX1T, 5681713]
[paragraph, [102.0, 739.0, 888.0, 36.0], shoonya_1sQQB89IVJEX1T, 5681713]
[paragraph, [102.0, 775.0, 888.0, 36.0], shoonya_1sQQB89IVJEX1T, 5681713]
[paragraph, [107.0, 829.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 865.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 901.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 937.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 973.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1009.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1045.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1081.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1117.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1153.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1189.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1225.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1261.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1297.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1333.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1369.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1405.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1441.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1477.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[paragraph, [107.0, 1513.0, 884.0, 36.0], shoonya_2sB4IAUS45E6I5, 5681713]
[folio, [436.0, 1591.0, 147.0, 36.0], IGc-2HQRp3, 5681713]
