[842, 596]
[ordered-list, [73.0, 56.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 74.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 92.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 110.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 128.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 146.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 164.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 182.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 200.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 218.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 236.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 254.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 272.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 290.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 308.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 326.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 344.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 362.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 380.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 398.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 416.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 434.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 452.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 470.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 488.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 506.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 524.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 542.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 560.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 578.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 596.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[ordered-list, [73.0, 614.0, 456.0, 18.0], shoonya_0sHKKB089XMACA, 5658293]
[footnote, [79.0, 777.0, 472.0, 18.0], 93u4Bt3rOn, 5658293]
[footnote, [79.0, 795.0, 472.0, 18.0], 93u4Bt3rOn, 5658293]
