[1347, 847]
[paragraph, [33.0, 34.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 52.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 70.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 88.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 106.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 124.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 142.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 160.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 178.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 196.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 214.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 232.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 250.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 268.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 286.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 304.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 322.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [33.0, 340.0, 771.0, 18.0], cqZuro0KVB, 5660683]
[paragraph, [34.0, 368.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 386.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 404.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 422.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 440.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 458.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 476.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 494.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 512.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 530.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 548.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 566.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 584.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 602.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 620.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 638.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 656.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 674.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 692.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 710.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 728.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 746.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [34.0, 764.0, 768.0, 18.0], ZCWJXhZa6S, 5660683]
[paragraph, [51.0, 798.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 816.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 834.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 852.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 870.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 888.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 906.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 924.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 942.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 960.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 978.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 996.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 1014.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 1032.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 1050.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 1068.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 1086.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 1104.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
[paragraph, [51.0, 1122.0, 761.0, 18.0], nE4ARGuqTS, 5660683]
