[652, 567]
[paragraph, [298.0, 52.0, 229.0, 18.0], shoonya_3sR4840KI88HTU, 5779663]
[paragraph, [298.0, 70.0, 229.0, 18.0], shoonya_3sR4840KI88HTU, 5779663]
[paragraph, [298.0, 88.0, 229.0, 18.0], shoonya_3sR4840KI88HTU, 5779663]
[paragraph, [34.0, 56.0, 233.0, 18.0], shoonya_17sQJHW0F24NBY, 5779663]
[paragraph, [34.0, 74.0, 233.0, 18.0], shoonya_17sQJHW0F24NBY, 5779663]
[unordered-list, [36.0, 96.0, 239.0, 18.0], shoonya_0s30K8PZR2B6PK, 5779663]
[unordered-list, [36.0, 114.0, 239.0, 18.0], shoonya_0s30K8PZR2B6PK, 5779663]
[unordered-list, [36.0, 132.0, 239.0, 18.0], shoonya_0s30K8PZR2B6PK, 5779663]
[unordered-list, [36.0, 150.0, 239.0, 18.0], shoonya_0s30K8PZR2B6PK, 5779663]
[unordered-list, [36.0, 168.0, 239.0, 18.0], shoonya_0s30K8PZR2B6PK, 5779663]
[unordered-list, [36.0, 186.0, 239.0, 18.0], shoonya_0s30K8PZR2B6PK, 5779663]
[unordered-list, [36.0, 204.0, 239.0, 18.0], shoonya_0s30K8PZR2B6PK, 5779663]
[paragraph, [299.0, 119.0, 230.0, 18.0], shoonya_5sOK9NPVYADGJK, 5779663]
[unordered-list, [300.0, 160.0, 186.0, 18.0], shoonya_10s57TP6K1XAT7, 5779663]
[unordered-list, [300.0, 178.0, 186.0, 18.0], shoonya_10s57TP6K1XAT7, 5779663]
[sub-ordered-list, [297.0, 214.0, 235.0, 18.0], shoonya_16s875PLSZ613W, 5779663]
[sub-ordered-list, [297.0, 232.0, 235.0, 18.0], shoonya_16s875PLSZ613W, 5779663]
[sub-ordered-list, [297.0, 250.0, 235.0, 18.0], shoonya_16s875PLSZ613W, 5779663]
[sub-ordered-list, [297.0, 268.0, 235.0, 18.0], shoonya_16s875PLSZ613W, 5779663]
[sub-ordered-list, [297.0, 286.0, 235.0, 18.0], shoonya_16s875PLSZ613W, 5779663]
[sub-ordered-list, [297.0, 304.0, 235.0, 18.0], shoonya_16s875PLSZ613W, 5779663]
[sub-ordered-list, [297.0, 322.0, 235.0, 18.0], shoonya_16s875PLSZ613W, 5779663]
[sub-ordered-list, [297.0, 340.0, 235.0, 18.0], shoonya_16s875PLSZ613W, 5779663]
[sub-ordered-list, [297.0, 358.0, 235.0, 18.0], shoonya_16s875PLSZ613W, 5779663]
[sub-ordered-list, [297.0, 376.0, 235.0, 18.0], shoonya_16s875PLSZ613W, 5779663]
[sub-ordered-list, [297.0, 394.0, 235.0, 18.0], shoonya_16s875PLSZ613W, 5779663]
[sub-ordered-list, [297.0, 412.0, 235.0, 18.0], shoonya_16s875PLSZ613W, 5779663]
[sub-ordered-list, [297.0, 430.0, 235.0, 18.0], shoonya_16s875PLSZ613W, 5779663]
[paragraph, [38.0, 242.0, 233.0, 18.0], shoonya_2s6ISQJ2NM8BDY, 5779663]
[paragraph, [38.0, 260.0, 233.0, 18.0], shoonya_2s6ISQJ2NM8BDY, 5779663]
[paragraph, [38.0, 278.0, 233.0, 18.0], shoonya_2s6ISQJ2NM8BDY, 5779663]
[paragraph, [38.0, 296.0, 233.0, 18.0], shoonya_2s6ISQJ2NM8BDY, 5779663]
[paragraph, [38.0, 314.0, 233.0, 18.0], shoonya_2s6ISQJ2NM8BDY, 5779663]
[paragraph, [39.0, 341.0, 232.0, 18.0], shoonya_15sH6L2W6USD5S, 5779663]
[paragraph, [39.0, 373.0, 235.0, 18.0], shoonya_18sUQUAK1F2338, 5779663]
[unordered-list, [38.0, 413.0, 233.0, 18.0], shoonya_1sX77J3AG6NTMY, 5779663]
[unordered-list, [38.0, 431.0, 233.0, 18.0], shoonya_1sX77J3AG6NTMY, 5779663]
[unordered-list, [38.0, 449.0, 233.0, 18.0], shoonya_1sX77J3AG6NTMY, 5779663]
[unordered-list, [38.0, 467.0, 233.0, 18.0], shoonya_1sX77J3AG6NTMY, 5779663]
[unordered-list, [38.0, 485.0, 233.0, 18.0], shoonya_1sX77J3AG6NTMY, 5779663]
[unordered-list, [38.0, 503.0, 233.0, 18.0], shoonya_1sX77J3AG6NTMY, 5779663]
[unordered-list, [38.0, 521.0, 233.0, 18.0], shoonya_1sX77J3AG6NTMY, 5779663]
[unordered-list, [38.0, 539.0, 233.0, 18.0], shoonya_1sX77J3AG6NTMY, 5779663]
[unordered-list, [38.0, 557.0, 233.0, 18.0], shoonya_1sX77J3AG6NTMY, 5779663]
[unordered-list, [38.0, 575.0, 233.0, 18.0], shoonya_1sX77J3AG6NTMY, 5779663]
[paragraph, [299.0, 456.0, 228.0, 18.0], C1DML0F8NQ, 5779663]
[sub-ordered-list, [297.0, 495.0, 238.0, 18.0], shoonya_4s7QFLJ5U2U5U3, 5779663]
[sub-ordered-list, [297.0, 513.0, 238.0, 18.0], shoonya_4s7QFLJ5U2U5U3, 5779663]
[sub-ordered-list, [297.0, 531.0, 238.0, 18.0], shoonya_4s7QFLJ5U2U5U3, 5779663]
[sub-ordered-list, [297.0, 549.0, 238.0, 18.0], shoonya_4s7QFLJ5U2U5U3, 5779663]
[sub-ordered-list, [297.0, 567.0, 238.0, 18.0], shoonya_4s7QFLJ5U2U5U3, 5779663]
[sub-ordered-list, [297.0, 585.0, 238.0, 18.0], shoonya_4s7QFLJ5U2U5U3, 5779663]
[paragraph, [38.0, 598.0, 237.0, 18.0], shoonya_9s2N6MJRF6ZS6G, 5779663]
