[1241, 798]
[folio, [91.0, 65.0, 133.0, 18.0], shoonya_4sK6NPLYT3A4WP, 5701804]
[paragraph, [90.0, 112.0, 616.0, 18.0], shoonya_5sOH0E00HVG6GP, 5701804]
[paragraph, [90.0, 130.0, 616.0, 18.0], shoonya_5sOH0E00HVG6GP, 5701804]
[paragraph, [90.0, 148.0, 616.0, 18.0], shoonya_5sOH0E00HVG6GP, 5701804]
[paragraph, [90.0, 166.0, 616.0, 18.0], shoonya_5sOH0E00HVG6GP, 5701804]
[paragraph, [90.0, 184.0, 616.0, 18.0], shoonya_5sOH0E00HVG6GP, 5701804]
[paragraph, [90.0, 202.0, 616.0, 18.0], shoonya_5sOH0E00HVG6GP, 5701804]
[paragraph, [89.0, 234.0, 618.0, 18.0], shoonya_3sMDSOU5MN20OE, 5701804]
[paragraph, [89.0, 252.0, 618.0, 18.0], shoonya_3sMDSOU5MN20OE, 5701804]
[paragraph, [89.0, 270.0, 618.0, 18.0], shoonya_3sMDSOU5MN20OE, 5701804]
[paragraph, [89.0, 288.0, 618.0, 18.0], shoonya_3sMDSOU5MN20OE, 5701804]
[paragraph, [89.0, 306.0, 618.0, 18.0], shoonya_3sMDSOU5MN20OE, 5701804]
[paragraph, [89.0, 324.0, 618.0, 18.0], shoonya_3sMDSOU5MN20OE, 5701804]
[paragraph, [89.0, 342.0, 618.0, 18.0], shoonya_3sMDSOU5MN20OE, 5701804]
[paragraph, [89.0, 360.0, 618.0, 18.0], shoonya_3sMDSOU5MN20OE, 5701804]
[paragraph, [89.0, 378.0, 618.0, 18.0], shoonya_3sMDSOU5MN20OE, 5701804]
[paragraph, [89.0, 396.0, 618.0, 18.0], shoonya_3sMDSOU5MN20OE, 5701804]
[paragraph, [88.0, 424.0, 619.0, 18.0], shoonya_6sNRIXFUKML4AT, 5701804]
[paragraph, [88.0, 442.0, 619.0, 18.0], shoonya_6sNRIXFUKML4AT, 5701804]
[paragraph, [88.0, 460.0, 619.0, 18.0], shoonya_6sNRIXFUKML4AT, 5701804]
[paragraph, [88.0, 478.0, 619.0, 18.0], shoonya_6sNRIXFUKML4AT, 5701804]
[paragraph, [88.0, 514.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 532.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 550.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 568.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 586.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 604.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 622.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 640.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 658.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 676.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 694.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 712.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 730.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 748.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 766.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [88.0, 784.0, 619.0, 18.0], shoonya_1sH59U2J5TB0TC, 5701804]
[paragraph, [89.0, 814.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 832.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 850.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 868.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 886.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 904.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 922.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 940.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 958.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 976.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 994.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 1012.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 1030.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 1048.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 1066.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 1084.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 1102.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 1120.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 1138.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
[paragraph, [89.0, 1156.0, 619.0, 18.0], shoonya_0sIEN1PON197OV, 5701804]
