[3509, 2480]
[paragraph, [239.0, 427.0, 2007.0, 52.5], shoonya_0s8UWUUWBAR92C, 5721525]
[paragraph, [239.0, 479.5, 2007.0, 52.5], shoonya_0s8UWUUWBAR92C, 5721525]
[paragraph, [239.0, 532.0, 2007.0, 52.5], shoonya_0s8UWUUWBAR92C, 5721525]
[paragraph, [238.0, 589.0, 2011.0, 52.5], 6kVs0xL67J, 5721525]
[paragraph, [238.0, 641.5, 2011.0, 52.5], 6kVs0xL67J, 5721525]
[paragraph, [238.0, 694.0, 2011.0, 52.5], 6kVs0xL67J, 5721525]
[paragraph, [235.0, 747.0, 2018.0, 52.5], w5DYzn7fWI, 5721525]
[paragraph, [235.0, 799.5, 2018.0, 52.5], w5DYzn7fWI, 5721525]
[paragraph, [235.0, 852.0, 2018.0, 52.5], w5DYzn7fWI, 5721525]
[paragraph, [235.0, 909.0, 2011.0, 52.5], hOQC2TNO2U, 5721525]
[paragraph, [235.0, 961.5, 2011.0, 52.5], hOQC2TNO2U, 5721525]
[paragraph, [235.0, 1014.0, 2011.0, 52.5], hOQC2TNO2U, 5721525]
[paragraph, [232.0, 1067.0, 2018.0, 52.5], eYU7NgLz4I, 5721525]
[paragraph, [232.0, 1119.5, 2018.0, 52.5], eYU7NgLz4I, 5721525]
[paragraph, [232.0, 1172.0, 2018.0, 52.5], eYU7NgLz4I, 5721525]
[paragraph, [247.0, 1225.0, 1934.0, 52.5], P8fJSJyk4m, 5721525]
[paragraph, [238.0, 1306.0, 1999.0, 52.5], z-6XcoWsui, 5721525]
[paragraph, [238.0, 1358.5, 1999.0, 52.5], z-6XcoWsui, 5721525]
[paragraph, [238.0, 1411.0, 1999.0, 52.5], z-6XcoWsui, 5721525]
[paragraph, [238.0, 1463.5, 1999.0, 52.5], z-6XcoWsui, 5721525]
[paragraph, [238.0, 1516.0, 1999.0, 52.5], z-6XcoWsui, 5721525]
[paragraph, [235.0, 1622.0, 1996.0, 52.5], sJwHiMhxtb, 5721525]
[paragraph, [235.0, 1674.5, 1996.0, 52.5], sJwHiMhxtb, 5721525]
[paragraph, [235.0, 1783.0, 1999.0, 52.5], i-_CmKRL7k, 5721525]
[paragraph, [235.0, 1835.5, 1999.0, 52.5], i-_CmKRL7k, 5721525]
[paragraph, [235.0, 1939.0, 1999.0, 52.5], GHNcRSdpJa, 5721525]
[paragraph, [235.0, 1991.5, 1999.0, 52.5], GHNcRSdpJa, 5721525]
[paragraph, [235.0, 2044.0, 1999.0, 52.5], GHNcRSdpJa, 5721525]
[paragraph, [232.0, 2100.0, 2008.0, 52.5], IZc6PQ5W3i, 5721525]
[paragraph, [232.0, 2152.5, 2008.0, 52.5], IZc6PQ5W3i, 5721525]
[paragraph, [232.0, 2205.0, 2008.0, 52.5], IZc6PQ5W3i, 5721525]
[paragraph, [232.0, 2257.5, 2008.0, 52.5], IZc6PQ5W3i, 5721525]
[paragraph, [232.0, 2310.0, 2008.0, 52.5], IZc6PQ5W3i, 5721525]
[paragraph, [232.0, 2362.5, 2008.0, 52.5], IZc6PQ5W3i, 5721525]
[paragraph, [232.0, 2415.0, 2008.0, 52.5], IZc6PQ5W3i, 5721525]
[paragraph, [232.0, 2467.5, 2008.0, 52.5], IZc6PQ5W3i, 5721525]
[paragraph, [232.0, 2520.0, 2008.0, 52.5], IZc6PQ5W3i, 5721525]
[paragraph, [232.0, 2572.5, 2008.0, 52.5], IZc6PQ5W3i, 5721525]
[paragraph, [235.0, 2655.0, 2005.0, 52.5], h0TxSYs521, 5721525]
[paragraph, [235.0, 2707.5, 2005.0, 52.5], h0TxSYs521, 5721525]
[paragraph, [235.0, 2760.0, 2005.0, 52.5], h0TxSYs521, 5721525]
[paragraph, [235.0, 2812.5, 2005.0, 52.5], h0TxSYs521, 5721525]
[paragraph, [235.0, 2865.0, 2005.0, 52.5], h0TxSYs521, 5721525]
[paragraph, [235.0, 2917.5, 2005.0, 52.5], h0TxSYs521, 5721525]
[paragraph, [235.0, 2970.0, 2005.0, 52.5], h0TxSYs521, 5721525]
