[911, 559]
[paragraph, [33.0, 41.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 59.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 77.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 95.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 113.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 131.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 149.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 167.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 185.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 203.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 221.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 239.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 257.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 275.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 293.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 311.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 329.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 347.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 365.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 383.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 401.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 419.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 437.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 455.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 473.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 491.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 509.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 527.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 545.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 563.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [33.0, 581.0, 515.0, 18.0], shoonya_1sPOMVPJU3APIB, 5775839]
[paragraph, [253.0, 598.0, 244.0, 18.0], shoonya_2sF8THBIVUQVJV, 5775839]
[paragraph, [451.0, 618.0, 75.0, 18.0], okdZsN78pC, 5775839]
[paragraph, [36.0, 638.0, 504.0, 18.0], shoonya_0sFF99JK26EX7H, 5775839]
[paragraph, [36.0, 656.0, 504.0, 18.0], shoonya_0sFF99JK26EX7H, 5775839]
[paragraph, [36.0, 674.0, 504.0, 18.0], shoonya_0sFF99JK26EX7H, 5775839]
[paragraph, [36.0, 692.0, 504.0, 18.0], shoonya_0sFF99JK26EX7H, 5775839]
[paragraph, [36.0, 710.0, 504.0, 18.0], shoonya_0sFF99JK26EX7H, 5775839]
[paragraph, [36.0, 728.0, 504.0, 18.0], shoonya_0sFF99JK26EX7H, 5775839]
[paragraph, [36.0, 746.0, 504.0, 18.0], shoonya_0sFF99JK26EX7H, 5775839]
[paragraph, [36.0, 764.0, 504.0, 18.0], shoonya_0sFF99JK26EX7H, 5775839]
[paragraph, [36.0, 782.0, 504.0, 18.0], shoonya_0sFF99JK26EX7H, 5775839]
[paragraph, [36.0, 800.0, 504.0, 18.0], shoonya_0sFF99JK26EX7H, 5775839]
[paragraph, [36.0, 818.0, 504.0, 18.0], shoonya_0sFF99JK26EX7H, 5775839]
[paragraph, [36.0, 836.0, 504.0, 18.0], shoonya_0sFF99JK26EX7H, 5775839]
[paragraph, [36.0, 854.0, 504.0, 18.0], shoonya_0sFF99JK26EX7H, 5775839]
