[1545, 2000]
[section-title, [7.0, 144.0, 541.0, 49.5], dtAzTKUZMI, 6491244]
[section-title, [7.0, 193.5, 541.0, 49.5], dtAzTKUZMI, 6491244]
[section-title, [7.0, 243.0, 541.0, 49.5], dtAzTKUZMI, 6491244]
[section-title, [7.0, 292.5, 541.0, 49.5], dtAzTKUZMI, 6491244]
[section-title, [786.0, 174.0, 451.0, 49.5], 3fwsjs3S4T, 6491244]
[section-title, [786.0, 223.5, 451.0, 49.5], 3fwsjs3S4T, 6491244]
[section-title, [786.0, 273.0, 451.0, 49.5], 3fwsjs3S4T, 6491244]
[section-title, [786.0, 322.5, 451.0, 49.5], 3fwsjs3S4T, 6491244]
[section-title, [786.0, 372.0, 451.0, 49.5], 3fwsjs3S4T, 6491244]
[folio, [1413.0, 177.0, 359.0, 36.0], e0iLWyRXPU, 6491244]
[headline, [1340.0, 274.0, 626.0, 37.5], WslJ378rWg, 6491244]
[headline, [1340.0, 311.5, 626.0, 37.5], WslJ378rWg, 6491244]
[headline, [1340.0, 349.0, 626.0, 37.5], WslJ378rWg, 6491244]
[headline, [1340.0, 386.5, 626.0, 37.5], WslJ378rWg, 6491244]
[headline, [1340.0, 424.0, 626.0, 37.5], WslJ378rWg, 6491244]
[headline, [1340.0, 461.5, 626.0, 37.5], WslJ378rWg, 6491244]
[headline, [1340.0, 499.0, 626.0, 37.5], WslJ378rWg, 6491244]
[sub-section-title, [62.0, 422.0, 140.0, 36.0], 2g1sC9jsIE, 6491244]
[paragraph, [67.0, 474.0, 547.0, 36.0], Shr_4RcyYy, 6491244]
[paragraph, [67.0, 510.0, 547.0, 36.0], Shr_4RcyYy, 6491244]
[paragraph, [67.0, 546.0, 547.0, 36.0], Shr_4RcyYy, 6491244]
[paragraph, [67.0, 582.0, 547.0, 36.0], Shr_4RcyYy, 6491244]
[paragraph, [67.0, 618.0, 547.0, 36.0], Shr_4RcyYy, 6491244]
[sub-section-title, [409.0, 725.0, 180.0, 36.0], Zx5QhZh3ww, 6491244]
[paragraph, [150.0, 785.0, 439.0, 36.0], 4sH_XUDbrg, 6491244]
[paragraph, [150.0, 821.0, 439.0, 36.0], 4sH_XUDbrg, 6491244]
[paragraph, [150.0, 857.0, 439.0, 36.0], 4sH_XUDbrg, 6491244]
[paragraph, [150.0, 893.0, 439.0, 36.0], 4sH_XUDbrg, 6491244]
[sub-section-title, [62.0, 980.0, 142.0, 36.0], RXnYqGtK3x, 6491244]
[paragraph, [72.0, 1027.0, 515.0, 36.0], a9fKhjF2u-, 6491244]
[paragraph, [72.0, 1063.0, 515.0, 36.0], a9fKhjF2u-, 6491244]
[paragraph, [72.0, 1099.0, 515.0, 36.0], a9fKhjF2u-, 6491244]
[contact-info, [739.0, 1178.0, 516.0, 36.0], FCAxyUg1vX, 6491244]
[contact-info, [739.0, 1214.0, 516.0, 36.0], FCAxyUg1vX, 6491244]
[sub-section-title, [315.0, 1212.0, 280.0, 36.0], wPYufhooGG, 6491244]
[website-link, [971.0, 1223.0, 284.0, 18.0], 4ziOcBQilb, 6491244]
[paragraph, [1353.0, 1234.0, 606.0, 36.0], shoonya_0sUT3FTPPWG2RU, 6491244]
[paragraph, [1353.0, 1270.0, 606.0, 36.0], shoonya_0sUT3FTPPWG2RU, 6491244]
[paragraph, [1353.0, 1306.0, 606.0, 36.0], shoonya_0sUT3FTPPWG2RU, 6491244]
[paragraph, [1353.0, 1342.0, 606.0, 36.0], shoonya_0sUT3FTPPWG2RU, 6491244]
[paragraph, [786.0, 1255.0, 441.0, 36.0], 6UPE5UAxuA, 6491244]
[paragraph, [786.0, 1291.0, 441.0, 36.0], 6UPE5UAxuA, 6491244]
[paragraph, [227.0, 1267.0, 365.0, 36.0], 5ZHamdw6hO, 6491244]
[paragraph, [227.0, 1303.0, 365.0, 36.0], 5ZHamdw6hO, 6491244]
[paragraph, [227.0, 1339.0, 365.0, 36.0], 5ZHamdw6hO, 6491244]
