[1447, 1063]
[folio, [432.0, 55.0, 194.0, 18.0], W1ItS3yE3v, 5762368]
[headline, [151.0, 93.0, 757.0, 25.5], fQ6FbFlBAI, 5762368]
[headline, [151.0, 118.5, 757.0, 25.5], fQ6FbFlBAI, 5762368]
[headline, [151.0, 144.0, 757.0, 25.5], fQ6FbFlBAI, 5762368]
[headline, [151.0, 169.5, 757.0, 25.5], fQ6FbFlBAI, 5762368]
[headline, [151.0, 195.0, 757.0, 25.5], fQ6FbFlBAI, 5762368]
[headline, [151.0, 220.5, 757.0, 25.5], fQ6FbFlBAI, 5762368]
[headline, [151.0, 246.0, 757.0, 25.5], fQ6FbFlBAI, 5762368]
[paragraph, [530.0, 284.0, 440.0, 18.0], 1hIQDFaoUg, 5762368]
[paragraph, [530.0, 302.0, 440.0, 18.0], 1hIQDFaoUg, 5762368]
[paragraph, [530.0, 320.0, 440.0, 18.0], 1hIQDFaoUg, 5762368]
[paragraph, [530.0, 338.0, 440.0, 18.0], 1hIQDFaoUg, 5762368]
[paragraph, [530.0, 356.0, 440.0, 18.0], 1hIQDFaoUg, 5762368]
[paragraph, [530.0, 374.0, 440.0, 18.0], 1hIQDFaoUg, 5762368]
[paragraph, [530.0, 392.0, 440.0, 18.0], 1hIQDFaoUg, 5762368]
[paragraph, [530.0, 410.0, 440.0, 18.0], 1hIQDFaoUg, 5762368]
[paragraph, [530.0, 428.0, 440.0, 18.0], 1hIQDFaoUg, 5762368]
[paragraph, [530.0, 446.0, 440.0, 18.0], 1hIQDFaoUg, 5762368]
[paragraph, [530.0, 464.0, 440.0, 18.0], 1hIQDFaoUg, 5762368]
[paragraph, [530.0, 482.0, 440.0, 18.0], 1hIQDFaoUg, 5762368]
[paragraph, [85.0, 293.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 311.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 329.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 347.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 365.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 383.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 401.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 419.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 437.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 455.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 473.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 491.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 509.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 527.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 545.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 563.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 581.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 599.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 617.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 635.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 653.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 671.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [85.0, 689.0, 444.0, 18.0], Vobfr7XtbI, 5762368]
[paragraph, [531.0, 513.0, 434.0, 18.0], ZfKTZFSF0L, 5762368]
[paragraph, [531.0, 531.0, 434.0, 18.0], ZfKTZFSF0L, 5762368]
[paragraph, [531.0, 549.0, 434.0, 18.0], ZfKTZFSF0L, 5762368]
[paragraph, [531.0, 567.0, 434.0, 18.0], ZfKTZFSF0L, 5762368]
[paragraph, [531.0, 585.0, 434.0, 18.0], ZfKTZFSF0L, 5762368]
[paragraph, [531.0, 603.0, 434.0, 18.0], ZfKTZFSF0L, 5762368]
[paragraph, [531.0, 621.0, 434.0, 18.0], ZfKTZFSF0L, 5762368]
[paragraph, [531.0, 639.0, 434.0, 18.0], ZfKTZFSF0L, 5762368]
[paragraph, [531.0, 657.0, 434.0, 18.0], ZfKTZFSF0L, 5762368]
[paragraph, [531.0, 675.0, 434.0, 18.0], ZfKTZFSF0L, 5762368]
