[2339, 1653]
[paragraph, [235.0, 201.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 237.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 273.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 309.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 345.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 381.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 417.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 453.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 489.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 525.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 561.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 597.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 633.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 669.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 705.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 741.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 777.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 813.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 849.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [235.0, 885.0, 1185.0, 36.0], shoonya_0sCMHGV06B1Z0S, 5685734]
[paragraph, [234.0, 961.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 997.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1033.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1069.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1105.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1141.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1177.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1213.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1249.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1285.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1321.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1357.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1393.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1429.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1465.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1501.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1537.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1573.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1609.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1645.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1681.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [234.0, 1717.0, 1186.0, 36.0], shoonya_1sTNMMYJ2NEMR7, 5685734]
[paragraph, [235.0, 1793.0, 1188.0, 36.0], BT4N-48rmB, 5685734]
[paragraph, [235.0, 1829.0, 1188.0, 36.0], BT4N-48rmB, 5685734]
[paragraph, [235.0, 1865.0, 1188.0, 36.0], BT4N-48rmB, 5685734]
[paragraph, [235.0, 1901.0, 1188.0, 36.0], BT4N-48rmB, 5685734]
[paragraph, [235.0, 1937.0, 1188.0, 36.0], BT4N-48rmB, 5685734]
[paragraph, [235.0, 1973.0, 1188.0, 36.0], BT4N-48rmB, 5685734]
[paragraph, [235.0, 2009.0, 1188.0, 36.0], BT4N-48rmB, 5685734]
[paragraph, [235.0, 2045.0, 1188.0, 36.0], BT4N-48rmB, 5685734]
