[2650, 2048]
[paragraph, [337.0, 223.0, 1687.0, 46.5], shoonya_2sN0LHA2G4BNFA, 6473565]
[paragraph, [337.0, 269.5, 1687.0, 46.5], shoonya_2sN0LHA2G4BNFA, 6473565]
[paragraph, [337.0, 316.0, 1687.0, 46.5], shoonya_2sN0LHA2G4BNFA, 6473565]
[paragraph, [337.0, 362.5, 1687.0, 46.5], shoonya_2sN0LHA2G4BNFA, 6473565]
[paragraph, [337.0, 409.0, 1687.0, 46.5], shoonya_2sN0LHA2G4BNFA, 6473565]
[paragraph, [337.0, 455.5, 1687.0, 46.5], shoonya_2sN0LHA2G4BNFA, 6473565]
[paragraph, [350.0, 663.0, 1687.0, 46.5], shoonya_1s0X6SU6F950KM, 6473565]
[paragraph, [350.0, 709.5, 1687.0, 46.5], shoonya_1s0X6SU6F950KM, 6473565]
[paragraph, [350.0, 756.0, 1687.0, 46.5], shoonya_1s0X6SU6F950KM, 6473565]
[paragraph, [350.0, 802.5, 1687.0, 46.5], shoonya_1s0X6SU6F950KM, 6473565]
[paragraph, [350.0, 849.0, 1687.0, 46.5], shoonya_1s0X6SU6F950KM, 6473565]
[paragraph, [350.0, 895.5, 1687.0, 46.5], shoonya_1s0X6SU6F950KM, 6473565]
[paragraph, [350.0, 942.0, 1687.0, 46.5], shoonya_1s0X6SU6F950KM, 6473565]
[unordered-list, [394.0, 1269.0, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1315.5, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1362.0, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1408.5, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1455.0, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1501.5, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1548.0, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1594.5, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1641.0, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1687.5, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1734.0, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1780.5, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1827.0, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1873.5, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1920.0, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 1966.5, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 2013.0, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 2059.5, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 2106.0, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 2152.5, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 2199.0, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
[unordered-list, [394.0, 2245.5, 1653.0, 46.5], shoonya_0s1XF5DKVEH3GE, 6473565]
