[1648, 1134]
[paragraph, [159.0, 179.0, 847.0, 36.0], shoonya_2s55590F2UQXH7, 6468309]
[paragraph, [159.0, 215.0, 847.0, 36.0], shoonya_2s55590F2UQXH7, 6468309]
[paragraph, [159.0, 251.0, 847.0, 36.0], shoonya_2s55590F2UQXH7, 6468309]
[paragraph, [155.0, 338.0, 845.0, 36.0], shoonya_1sQ2WZDEW012BT, 6468309]
[paragraph, [155.0, 374.0, 845.0, 36.0], shoonya_1sQ2WZDEW012BT, 6468309]
[paragraph, [155.0, 410.0, 845.0, 36.0], shoonya_1sQ2WZDEW012BT, 6468309]
[paragraph, [155.0, 446.0, 845.0, 36.0], shoonya_1sQ2WZDEW012BT, 6468309]
[paragraph, [155.0, 482.0, 845.0, 36.0], shoonya_1sQ2WZDEW012BT, 6468309]
[paragraph, [155.0, 518.0, 845.0, 36.0], shoonya_1sQ2WZDEW012BT, 6468309]
[paragraph, [159.0, 611.0, 844.0, 36.0], shoonya_0sZEBB8SCPT8OY, 6468309]
[paragraph, [159.0, 647.0, 844.0, 36.0], shoonya_0sZEBB8SCPT8OY, 6468309]
[paragraph, [159.0, 683.0, 844.0, 36.0], shoonya_0sZEBB8SCPT8OY, 6468309]
[paragraph, [159.0, 719.0, 844.0, 36.0], shoonya_0sZEBB8SCPT8OY, 6468309]
[paragraph, [159.0, 755.0, 844.0, 36.0], shoonya_0sZEBB8SCPT8OY, 6468309]
[paragraph, [159.0, 791.0, 844.0, 36.0], shoonya_0sZEBB8SCPT8OY, 6468309]
[paragraph, [159.0, 827.0, 844.0, 36.0], shoonya_0sZEBB8SCPT8OY, 6468309]
[paragraph, [159.0, 863.0, 844.0, 36.0], shoonya_0sZEBB8SCPT8OY, 6468309]
[paragraph, [159.0, 899.0, 844.0, 36.0], shoonya_0sZEBB8SCPT8OY, 6468309]
[paragraph, [159.0, 935.0, 844.0, 36.0], shoonya_0sZEBB8SCPT8OY, 6468309]
[sidebar, [171.0, 1033.0, 438.0, 36.0], shoonya_7s4R8CWK0ERILW, 6468309]
[sidebar, [171.0, 1069.0, 438.0, 36.0], shoonya_7s4R8CWK0ERILW, 6468309]
[sidebar, [171.0, 1105.0, 438.0, 36.0], shoonya_7s4R8CWK0ERILW, 6468309]
[sidebar, [171.0, 1141.0, 438.0, 36.0], shoonya_7s4R8CWK0ERILW, 6468309]
[sidebar, [171.0, 1177.0, 438.0, 36.0], shoonya_7s4R8CWK0ERILW, 6468309]
[paragraph, [624.0, 1039.0, 377.0, 36.0], shoonya_4sALVTOFQDKSGQ, 6468309]
[paragraph, [624.0, 1075.0, 377.0, 36.0], shoonya_4sALVTOFQDKSGQ, 6468309]
[paragraph, [624.0, 1111.0, 377.0, 36.0], shoonya_4sALVTOFQDKSGQ, 6468309]
[paragraph, [624.0, 1147.0, 377.0, 36.0], shoonya_4sALVTOFQDKSGQ, 6468309]
[paragraph, [624.0, 1183.0, 377.0, 36.0], shoonya_4sALVTOFQDKSGQ, 6468309]
[paragraph, [624.0, 1219.0, 377.0, 36.0], shoonya_4sALVTOFQDKSGQ, 6468309]
[paragraph, [163.0, 1268.0, 838.0, 36.0], shoonya_6sFKQEQRZK58DC, 6468309]
[paragraph, [163.0, 1304.0, 838.0, 36.0], shoonya_6sFKQEQRZK58DC, 6468309]
[paragraph, [163.0, 1340.0, 838.0, 36.0], shoonya_6sFKQEQRZK58DC, 6468309]
[paragraph, [156.0, 1418.0, 842.0, 36.0], shoonya_5sUBT54G8NXBCE, 6468309]
[paragraph, [156.0, 1454.0, 842.0, 36.0], shoonya_5sUBT54G8NXBCE, 6468309]
[paragraph, [156.0, 1490.0, 842.0, 36.0], shoonya_5sUBT54G8NXBCE, 6468309]
