[792, 612]
[author, [54.0, 61.0, 131.0, 18.0], TaFuBv9Ycj, 5660714]
[folio, [43.0, 102.0, 161.0, 18.0], 1DDYoMYChr, 5660714]
[paragraph, [60.0, 247.0, 493.0, 18.0], shoonya_0sYLDQF1ZJUL7P, 5660714]
[paragraph, [60.0, 265.0, 493.0, 18.0], shoonya_0sYLDQF1ZJUL7P, 5660714]
[paragraph, [60.0, 283.0, 493.0, 18.0], shoonya_0sYLDQF1ZJUL7P, 5660714]
[paragraph, [60.0, 301.0, 493.0, 18.0], shoonya_0sYLDQF1ZJUL7P, 5660714]
[paragraph, [60.0, 319.0, 493.0, 18.0], shoonya_0sYLDQF1ZJUL7P, 5660714]
[paragraph, [60.0, 337.0, 493.0, 18.0], shoonya_0sYLDQF1ZJUL7P, 5660714]
[paragraph, [60.0, 355.0, 493.0, 18.0], shoonya_0sYLDQF1ZJUL7P, 5660714]
[paragraph, [60.0, 373.0, 493.0, 18.0], shoonya_0sYLDQF1ZJUL7P, 5660714]
[paragraph, [60.0, 391.0, 493.0, 18.0], shoonya_0sYLDQF1ZJUL7P, 5660714]
[paragraph, [60.0, 409.0, 493.0, 18.0], shoonya_0sYLDQF1ZJUL7P, 5660714]
[paragraph, [61.0, 441.0, 490.0, 18.0], shoonya_3s5V0IH8J9PYZU, 5660714]
[paragraph, [61.0, 459.0, 490.0, 18.0], shoonya_3s5V0IH8J9PYZU, 5660714]
[paragraph, [61.0, 477.0, 490.0, 18.0], shoonya_3s5V0IH8J9PYZU, 5660714]
[paragraph, [60.0, 506.0, 492.0, 18.0], shoonya_1sMAL55D6O4Y4P, 5660714]
[paragraph, [60.0, 524.0, 492.0, 18.0], shoonya_1sMAL55D6O4Y4P, 5660714]
[paragraph, [60.0, 542.0, 492.0, 18.0], shoonya_1sMAL55D6O4Y4P, 5660714]
[paragraph, [60.0, 560.0, 492.0, 18.0], shoonya_1sMAL55D6O4Y4P, 5660714]
[paragraph, [60.0, 578.0, 492.0, 18.0], shoonya_1sMAL55D6O4Y4P, 5660714]
[paragraph, [60.0, 596.0, 492.0, 18.0], shoonya_1sMAL55D6O4Y4P, 5660714]
[paragraph, [60.0, 614.0, 492.0, 18.0], shoonya_1sMAL55D6O4Y4P, 5660714]
[paragraph, [60.0, 632.0, 492.0, 18.0], shoonya_1sMAL55D6O4Y4P, 5660714]
[folio, [90.0, 662.0, 100.0, 18.0], shoonya_6sKKAIU9GWFDXH, 5660714]
