[1200, 825]
[paragraph, [146.0, 111.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 129.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 147.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 165.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 183.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 201.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 219.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 237.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 255.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 273.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 291.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 309.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 327.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 345.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 363.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [146.0, 381.0, 532.0, 18.0], shoonya_0sMAAO4KNVX6YA, 5691086]
[paragraph, [142.0, 417.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 435.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 453.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 471.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 489.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 507.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 525.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 543.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 561.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 579.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 597.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 615.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 633.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 651.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 669.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 687.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 705.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 723.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 741.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 759.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 777.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 795.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 813.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 831.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 849.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 867.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 885.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 903.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 921.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 939.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 957.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 975.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 993.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 1011.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
[paragraph, [142.0, 1029.0, 538.0, 18.0], 3EVJnT9Djp, 5691086]
