[680, 510]
[section-title, [44.0, 111.0, 427.0, 30.0], shoonya_8sUY5HB3ADHU77, 5761666]
[author, [194.0, 164.0, 123.0, 18.0], EQ5Ccc80l4, 5761666]
[author, [194.0, 182.0, 123.0, 18.0], EQ5Ccc80l4, 5761666]
[author, [194.0, 200.0, 123.0, 18.0], EQ5Ccc80l4, 5761666]
[paragraph, [37.0, 252.0, 436.0, 18.0], shoonya_0sSNE41WRLRQ1I, 5761666]
[paragraph, [37.0, 270.0, 436.0, 18.0], shoonya_0sSNE41WRLRQ1I, 5761666]
[paragraph, [37.0, 288.0, 436.0, 18.0], shoonya_0sSNE41WRLRQ1I, 5761666]
[paragraph, [37.0, 306.0, 436.0, 18.0], shoonya_0sSNE41WRLRQ1I, 5761666]
[paragraph, [37.0, 324.0, 436.0, 18.0], shoonya_0sSNE41WRLRQ1I, 5761666]
[paragraph, [37.0, 342.0, 436.0, 18.0], shoonya_0sSNE41WRLRQ1I, 5761666]
[paragraph, [259.0, 414.0, 211.0, 18.0], shoonya_5sVBOZ8DNYT96Q, 5761666]
[paragraph, [259.0, 432.0, 211.0, 18.0], shoonya_5sVBOZ8DNYT96Q, 5761666]
[paragraph, [36.0, 441.0, 216.0, 18.0], v6UNF56whG, 5761666]
[paragraph, [36.0, 459.0, 216.0, 18.0], v6UNF56whG, 5761666]
[paragraph, [36.0, 477.0, 216.0, 18.0], v6UNF56whG, 5761666]
[paragraph, [36.0, 495.0, 216.0, 18.0], v6UNF56whG, 5761666]
[paragraph, [36.0, 513.0, 216.0, 18.0], v6UNF56whG, 5761666]
[paragraph, [36.0, 531.0, 216.0, 18.0], v6UNF56whG, 5761666]
[paragraph, [36.0, 549.0, 216.0, 18.0], v6UNF56whG, 5761666]
[paragraph, [36.0, 567.0, 216.0, 18.0], v6UNF56whG, 5761666]
[paragraph, [258.0, 479.0, 216.0, 18.0], NpnmiA6GOg, 5761666]
[paragraph, [258.0, 497.0, 216.0, 18.0], NpnmiA6GOg, 5761666]
[paragraph, [258.0, 515.0, 216.0, 18.0], NpnmiA6GOg, 5761666]
[paragraph, [258.0, 533.0, 216.0, 18.0], NpnmiA6GOg, 5761666]
[paragraph, [258.0, 551.0, 216.0, 18.0], NpnmiA6GOg, 5761666]
[paragraph, [258.0, 569.0, 216.0, 18.0], NpnmiA6GOg, 5761666]
[footnote, [39.0, 602.0, 420.0, 18.0], shoonya_2sNV27EAYAYEEW, 5761666]
[footnote, [39.0, 620.0, 420.0, 18.0], shoonya_2sNV27EAYAYEEW, 5761666]
