[1606, 1056]
[folio, [442.0, 102.0, 159.0, 36.0], shoonya_3sGIZA0BQED9DB, 5684237]
[paragraph, [97.0, 155.0, 866.0, 36.0], fqIg0GZKG_, 5684237]
[paragraph, [97.0, 191.0, 866.0, 36.0], fqIg0GZKG_, 5684237]
[paragraph, [101.0, 248.0, 857.0, 36.0], shoonya_1sQ86V2765OWDW, 5684237]
[paragraph, [101.0, 284.0, 857.0, 36.0], shoonya_1sQ86V2765OWDW, 5684237]
[paragraph, [101.0, 320.0, 857.0, 36.0], shoonya_1sQ86V2765OWDW, 5684237]
[paragraph, [101.0, 356.0, 857.0, 36.0], shoonya_1sQ86V2765OWDW, 5684237]
[paragraph, [101.0, 392.0, 857.0, 36.0], shoonya_1sQ86V2765OWDW, 5684237]
[paragraph, [101.0, 428.0, 857.0, 36.0], shoonya_1sQ86V2765OWDW, 5684237]
[paragraph, [100.0, 477.0, 852.0, 36.0], shoonya_0sUZCM90NPLC0P, 5684237]
[paragraph, [100.0, 513.0, 852.0, 36.0], shoonya_0sUZCM90NPLC0P, 5684237]
[paragraph, [100.0, 549.0, 852.0, 36.0], shoonya_0sUZCM90NPLC0P, 5684237]
[paragraph, [100.0, 585.0, 852.0, 36.0], shoonya_0sUZCM90NPLC0P, 5684237]
[paragraph, [100.0, 621.0, 852.0, 36.0], shoonya_0sUZCM90NPLC0P, 5684237]
[paragraph, [100.0, 657.0, 852.0, 36.0], shoonya_0sUZCM90NPLC0P, 5684237]
[paragraph, [100.0, 693.0, 852.0, 36.0], shoonya_0sUZCM90NPLC0P, 5684237]
[paragraph, [100.0, 729.0, 852.0, 36.0], shoonya_0sUZCM90NPLC0P, 5684237]
[paragraph, [100.0, 765.0, 852.0, 36.0], shoonya_0sUZCM90NPLC0P, 5684237]
[paragraph, [100.0, 801.0, 852.0, 36.0], shoonya_0sUZCM90NPLC0P, 5684237]
[paragraph, [100.0, 837.0, 852.0, 36.0], shoonya_0sUZCM90NPLC0P, 5684237]
[paragraph, [100.0, 873.0, 852.0, 36.0], shoonya_0sUZCM90NPLC0P, 5684237]
[paragraph, [100.0, 909.0, 852.0, 36.0], shoonya_0sUZCM90NPLC0P, 5684237]
[paragraph, [98.0, 977.0, 856.0, 36.0], SWYLWJKPf2, 5684237]
[paragraph, [98.0, 1013.0, 856.0, 36.0], SWYLWJKPf2, 5684237]
[paragraph, [98.0, 1049.0, 856.0, 36.0], SWYLWJKPf2, 5684237]
[section-title, [449.0, 1159.0, 152.0, 49.5], shoonya_2sHGA0IWVA5YEN, 5684237]
[paragraph, [305.0, 1230.0, 441.0, 36.0], C0zwZB83Uo, 5684237]
[paragraph, [305.0, 1266.0, 441.0, 36.0], C0zwZB83Uo, 5684237]
[paragraph, [305.0, 1302.0, 441.0, 36.0], C0zwZB83Uo, 5684237]
[paragraph, [305.0, 1338.0, 441.0, 36.0], C0zwZB83Uo, 5684237]
[paragraph, [305.0, 1374.0, 441.0, 36.0], C0zwZB83Uo, 5684237]
[paragraph, [305.0, 1410.0, 441.0, 36.0], C0zwZB83Uo, 5684237]
[paragraph, [305.0, 1446.0, 441.0, 36.0], C0zwZB83Uo, 5684237]
