[792, 612]
[paragraph, [50.0, 87.0, 151.0, 18.0], shoonya_9s8HT8W95T7Z4U, 6514582]
[paragraph, [50.0, 105.0, 151.0, 18.0], shoonya_9s8HT8W95T7Z4U, 6514582]
[paragraph, [50.0, 123.0, 151.0, 18.0], shoonya_9s8HT8W95T7Z4U, 6514582]
[paragraph, [50.0, 141.0, 151.0, 18.0], shoonya_9s8HT8W95T7Z4U, 6514582]
[paragraph, [50.0, 159.0, 151.0, 18.0], shoonya_9s8HT8W95T7Z4U, 6514582]
[paragraph, [50.0, 177.0, 151.0, 18.0], shoonya_9s8HT8W95T7Z4U, 6514582]
[paragraph, [50.0, 195.0, 151.0, 18.0], shoonya_9s8HT8W95T7Z4U, 6514582]
[paragraph, [50.0, 213.0, 151.0, 18.0], shoonya_9s8HT8W95T7Z4U, 6514582]
[paragraph, [50.0, 231.0, 151.0, 18.0], shoonya_9s8HT8W95T7Z4U, 6514582]
[paragraph, [230.0, 88.0, 151.0, 18.0], QyGJtOcJ8N, 6514582]
[paragraph, [230.0, 106.0, 151.0, 18.0], QyGJtOcJ8N, 6514582]
[paragraph, [230.0, 124.0, 151.0, 18.0], QyGJtOcJ8N, 6514582]
[paragraph, [230.0, 142.0, 151.0, 18.0], QyGJtOcJ8N, 6514582]
[paragraph, [409.0, 89.0, 152.0, 18.0], 4V5jWdxvY3, 6514582]
[paragraph, [409.0, 107.0, 152.0, 18.0], 4V5jWdxvY3, 6514582]
[paragraph, [409.0, 125.0, 152.0, 18.0], 4V5jWdxvY3, 6514582]
[paragraph, [410.0, 184.0, 150.0, 18.0], c-MCuV_4Qp, 6514582]
[paragraph, [410.0, 202.0, 150.0, 18.0], c-MCuV_4Qp, 6514582]
[paragraph, [410.0, 220.0, 150.0, 18.0], c-MCuV_4Qp, 6514582]
[paragraph, [410.0, 238.0, 150.0, 18.0], c-MCuV_4Qp, 6514582]
[paragraph, [410.0, 256.0, 150.0, 18.0], c-MCuV_4Qp, 6514582]
[paragraph, [410.0, 274.0, 150.0, 18.0], c-MCuV_4Qp, 6514582]
[paragraph, [410.0, 292.0, 150.0, 18.0], c-MCuV_4Qp, 6514582]
[paragraph, [410.0, 310.0, 150.0, 18.0], c-MCuV_4Qp, 6514582]
[paragraph, [410.0, 328.0, 150.0, 18.0], c-MCuV_4Qp, 6514582]
[paragraph, [410.0, 346.0, 150.0, 18.0], c-MCuV_4Qp, 6514582]
[paragraph, [230.0, 190.0, 152.0, 18.0], mG23M6BVQE, 6514582]
[paragraph, [230.0, 208.0, 152.0, 18.0], mG23M6BVQE, 6514582]
[paragraph, [230.0, 226.0, 152.0, 18.0], mG23M6BVQE, 6514582]
[paragraph, [230.0, 244.0, 152.0, 18.0], mG23M6BVQE, 6514582]
[paragraph, [230.0, 262.0, 152.0, 18.0], mG23M6BVQE, 6514582]
[paragraph, [230.0, 280.0, 152.0, 18.0], mG23M6BVQE, 6514582]
[paragraph, [230.0, 298.0, 152.0, 18.0], mG23M6BVQE, 6514582]
[paragraph, [230.0, 316.0, 152.0, 18.0], mG23M6BVQE, 6514582]
[paragraph, [230.0, 334.0, 152.0, 18.0], mG23M6BVQE, 6514582]
[paragraph, [230.0, 352.0, 152.0, 18.0], mG23M6BVQE, 6514582]
[paragraph, [230.0, 370.0, 152.0, 18.0], mG23M6BVQE, 6514582]
[paragraph, [230.0, 388.0, 152.0, 18.0], mG23M6BVQE, 6514582]
[paragraph, [230.0, 406.0, 152.0, 18.0], mG23M6BVQE, 6514582]
[paragraph, [50.0, 282.0, 151.0, 18.0], shoonya_6s0KW1FYC3JJQA, 6514582]
[paragraph, [50.0, 300.0, 151.0, 18.0], shoonya_6s0KW1FYC3JJQA, 6514582]
[paragraph, [50.0, 318.0, 151.0, 18.0], shoonya_6s0KW1FYC3JJQA, 6514582]
[paragraph, [50.0, 336.0, 151.0, 18.0], shoonya_6s0KW1FYC3JJQA, 6514582]
[paragraph, [50.0, 354.0, 151.0, 18.0], shoonya_6s0KW1FYC3JJQA, 6514582]
[paragraph, [50.0, 372.0, 151.0, 18.0], shoonya_6s0KW1FYC3JJQA, 6514582]
[paragraph, [50.0, 390.0, 151.0, 18.0], shoonya_6s0KW1FYC3JJQA, 6514582]
[paragraph, [50.0, 408.0, 151.0, 18.0], shoonya_6s0KW1FYC3JJQA, 6514582]
[paragraph, [50.0, 426.0, 151.0, 18.0], shoonya_6s0KW1FYC3JJQA, 6514582]
[paragraph, [50.0, 444.0, 151.0, 18.0], shoonya_6s0KW1FYC3JJQA, 6514582]
[paragraph, [50.0, 462.0, 151.0, 18.0], shoonya_6s0KW1FYC3JJQA, 6514582]
