[2339, 1653]
[paragraph, [225.0, 204.0, 1208.0, 36.0], shoonya_0s71511IVP6V80, 5685749]
[paragraph, [225.0, 240.0, 1208.0, 36.0], shoonya_0s71511IVP6V80, 5685749]
[paragraph, [225.0, 276.0, 1208.0, 36.0], shoonya_0s71511IVP6V80, 5685749]
[paragraph, [225.0, 312.0, 1208.0, 36.0], shoonya_0s71511IVP6V80, 5685749]
[paragraph, [225.0, 348.0, 1208.0, 36.0], shoonya_0s71511IVP6V80, 5685749]
[paragraph, [225.0, 384.0, 1208.0, 36.0], shoonya_0s71511IVP6V80, 5685749]
[paragraph, [225.0, 420.0, 1208.0, 36.0], shoonya_0s71511IVP6V80, 5685749]
[paragraph, [225.0, 456.0, 1208.0, 36.0], shoonya_0s71511IVP6V80, 5685749]
[paragraph, [225.0, 492.0, 1208.0, 36.0], shoonya_0s71511IVP6V80, 5685749]
[paragraph, [225.0, 528.0, 1208.0, 36.0], shoonya_0s71511IVP6V80, 5685749]
[paragraph, [220.0, 589.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 625.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 661.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 697.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 733.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 769.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 805.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 841.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 877.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 913.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 949.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 985.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 1021.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 1057.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 1093.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 1129.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 1165.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 1201.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 1237.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 1273.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 1309.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 1345.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [220.0, 1381.0, 1217.0, 36.0], shoonya_2sFCYCIIC6BRXV, 5685749]
[paragraph, [221.0, 1454.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1490.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1526.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1562.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1598.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1634.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1670.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1706.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1742.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1778.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1814.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1850.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1886.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1922.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1958.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 1994.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 2030.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 2066.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
[paragraph, [221.0, 2102.0, 1207.0, 36.0], shoonya_1sZHT486OYTVSO, 5685749]
