[594, 841]
[paragraph, [487.0, 69.0, 296.0, 18.0], Z5XjCdVAy6, 6533433]
[paragraph, [487.0, 87.0, 296.0, 18.0], Z5XjCdVAy6, 6533433]
[paragraph, [487.0, 105.0, 296.0, 18.0], Z5XjCdVAy6, 6533433]
[paragraph, [487.0, 123.0, 296.0, 18.0], Z5XjCdVAy6, 6533433]
[paragraph, [487.0, 141.0, 296.0, 18.0], Z5XjCdVAy6, 6533433]
[paragraph, [487.0, 159.0, 296.0, 18.0], Z5XjCdVAy6, 6533433]
[paragraph, [487.0, 177.0, 296.0, 18.0], Z5XjCdVAy6, 6533433]
[paragraph, [487.0, 195.0, 296.0, 18.0], Z5XjCdVAy6, 6533433]
[paragraph, [487.0, 213.0, 296.0, 18.0], Z5XjCdVAy6, 6533433]
[paragraph, [487.0, 231.0, 296.0, 18.0], Z5XjCdVAy6, 6533433]
[paragraph, [487.0, 249.0, 296.0, 18.0], Z5XjCdVAy6, 6533433]
[paragraph, [487.0, 267.0, 296.0, 18.0], Z5XjCdVAy6, 6533433]
[paragraph, [487.0, 285.0, 296.0, 18.0], Z5XjCdVAy6, 6533433]
[chapter-title, [243.0, 80.0, 73.0, 30.0], shoonya_0sCQ8A4TOJ5OOK, 6533433]
[paragraph, [138.0, 115.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 133.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 151.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 169.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 187.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 205.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 223.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 241.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 259.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 277.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 295.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 313.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 331.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 349.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 367.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 385.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 403.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 421.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 439.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 457.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 475.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 493.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [138.0, 511.0, 291.0, 18.0], KxYlsDv7cC, 6533433]
[paragraph, [487.0, 311.0, 296.0, 18.0], 9mqYFL5w43, 6533433]
[paragraph, [487.0, 329.0, 296.0, 18.0], 9mqYFL5w43, 6533433]
[paragraph, [487.0, 347.0, 296.0, 18.0], 9mqYFL5w43, 6533433]
[paragraph, [487.0, 365.0, 296.0, 18.0], 9mqYFL5w43, 6533433]
[paragraph, [487.0, 383.0, 296.0, 18.0], 9mqYFL5w43, 6533433]
[paragraph, [487.0, 401.0, 296.0, 18.0], 9mqYFL5w43, 6533433]
[paragraph, [487.0, 419.0, 296.0, 18.0], 9mqYFL5w43, 6533433]
[paragraph, [487.0, 437.0, 296.0, 18.0], 9mqYFL5w43, 6533433]
[paragraph, [487.0, 455.0, 296.0, 18.0], 9mqYFL5w43, 6533433]
[paragraph, [487.0, 473.0, 296.0, 18.0], 9mqYFL5w43, 6533433]
[paragraph, [487.0, 491.0, 296.0, 18.0], 9mqYFL5w43, 6533433]
[paragraph, [487.0, 509.0, 296.0, 18.0], 9mqYFL5w43, 6533433]
