[1625, 1211]
[headline, [252.0, 93.0, 731.0, 37.5], shoonya_0sUC3QAP9MWHNY, 5742440]
[headline, [252.0, 130.5, 731.0, 37.5], shoonya_0sUC3QAP9MWHNY, 5742440]
[headline, [252.0, 168.0, 731.0, 37.5], shoonya_0sUC3QAP9MWHNY, 5742440]
[sub-headline, [263.0, 213.0, 677.0, 36.0], EDoSzug9TB, 5742440]
[paragraph, [74.0, 270.0, 343.0, 36.0], EZSUPxTqa3, 5742440]
[paragraph, [74.0, 306.0, 343.0, 36.0], EZSUPxTqa3, 5742440]
[paragraph, [74.0, 342.0, 343.0, 36.0], EZSUPxTqa3, 5742440]
[paragraph, [74.0, 378.0, 343.0, 36.0], EZSUPxTqa3, 5742440]
[paragraph, [74.0, 414.0, 343.0, 36.0], EZSUPxTqa3, 5742440]
[paragraph, [74.0, 450.0, 343.0, 36.0], EZSUPxTqa3, 5742440]
[paragraph, [74.0, 486.0, 343.0, 36.0], EZSUPxTqa3, 5742440]
[paragraph, [74.0, 522.0, 343.0, 36.0], EZSUPxTqa3, 5742440]
[paragraph, [74.0, 558.0, 343.0, 36.0], EZSUPxTqa3, 5742440]
[paragraph, [74.0, 594.0, 343.0, 36.0], EZSUPxTqa3, 5742440]
[paragraph, [74.0, 630.0, 343.0, 36.0], EZSUPxTqa3, 5742440]
[paragraph, [74.0, 666.0, 343.0, 36.0], EZSUPxTqa3, 5742440]
[paragraph, [74.0, 702.0, 343.0, 36.0], EZSUPxTqa3, 5742440]
[paragraph, [432.0, 270.0, 341.0, 36.0], yw9LxKS4Fi, 5742440]
[paragraph, [432.0, 306.0, 341.0, 36.0], yw9LxKS4Fi, 5742440]
[paragraph, [432.0, 342.0, 341.0, 36.0], yw9LxKS4Fi, 5742440]
[paragraph, [432.0, 378.0, 341.0, 36.0], yw9LxKS4Fi, 5742440]
[paragraph, [432.0, 414.0, 341.0, 36.0], yw9LxKS4Fi, 5742440]
[paragraph, [432.0, 450.0, 341.0, 36.0], yw9LxKS4Fi, 5742440]
[paragraph, [432.0, 486.0, 341.0, 36.0], yw9LxKS4Fi, 5742440]
[paragraph, [432.0, 522.0, 341.0, 36.0], yw9LxKS4Fi, 5742440]
[paragraph, [432.0, 558.0, 341.0, 36.0], yw9LxKS4Fi, 5742440]
[paragraph, [432.0, 594.0, 341.0, 36.0], yw9LxKS4Fi, 5742440]
[paragraph, [789.0, 275.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 311.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 347.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 383.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 419.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 455.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 491.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 527.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 563.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 599.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 635.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 671.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 707.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 743.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 779.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 815.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 851.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 887.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [789.0, 923.0, 343.0, 36.0], 5ZIbWw65sa, 5742440]
[paragraph, [426.0, 662.0, 347.0, 36.0], Y3QyveYeAB, 5742440]
[paragraph, [426.0, 698.0, 347.0, 36.0], Y3QyveYeAB, 5742440]
[paragraph, [426.0, 734.0, 347.0, 36.0], Y3QyveYeAB, 5742440]
[paragraph, [426.0, 770.0, 347.0, 36.0], Y3QyveYeAB, 5742440]
[paragraph, [426.0, 806.0, 347.0, 36.0], Y3QyveYeAB, 5742440]
[paragraph, [426.0, 842.0, 347.0, 36.0], Y3QyveYeAB, 5742440]
[paragraph, [426.0, 878.0, 347.0, 36.0], Y3QyveYeAB, 5742440]
[paragraph, [426.0, 914.0, 347.0, 36.0], Y3QyveYeAB, 5742440]
[paragraph, [426.0, 950.0, 347.0, 36.0], Y3QyveYeAB, 5742440]
[paragraph, [426.0, 986.0, 347.0, 36.0], Y3QyveYeAB, 5742440]
[author, [108.0, 775.0, 269.0, 36.0], Cv4fPpUVmo, 5742440]
[paragraph, [61.0, 826.0, 355.0, 36.0], GLHiDSrf1A, 5742440]
[paragraph, [61.0, 862.0, 355.0, 36.0], GLHiDSrf1A, 5742440]
[paragraph, [61.0, 898.0, 355.0, 36.0], GLHiDSrf1A, 5742440]
[paragraph, [61.0, 934.0, 355.0, 36.0], GLHiDSrf1A, 5742440]
[paragraph, [61.0, 970.0, 355.0, 36.0], GLHiDSrf1A, 5742440]
[paragraph, [61.0, 1006.0, 355.0, 36.0], GLHiDSrf1A, 5742440]
[paragraph, [61.0, 1042.0, 355.0, 36.0], GLHiDSrf1A, 5742440]
[paragraph, [790.0, 979.0, 336.0, 36.0], shoonya_1s0241ZM5Z11N0, 5742440]
[paragraph, [790.0, 1015.0, 336.0, 36.0], shoonya_1s0241ZM5Z11N0, 5742440]
[paragraph, [790.0, 1051.0, 336.0, 36.0], shoonya_1s0241ZM5Z11N0, 5742440]
[paragraph, [790.0, 1087.0, 336.0, 36.0], shoonya_1s0241ZM5Z11N0, 5742440]
[paragraph, [790.0, 1123.0, 336.0, 36.0], shoonya_1s0241ZM5Z11N0, 5742440]
[paragraph, [790.0, 1159.0, 336.0, 36.0], shoonya_1s0241ZM5Z11N0, 5742440]
[paragraph, [790.0, 1195.0, 336.0, 36.0], shoonya_1s0241ZM5Z11N0, 5742440]
[paragraph, [790.0, 1231.0, 336.0, 36.0], shoonya_1s0241ZM5Z11N0, 5742440]
[paragraph, [790.0, 1267.0, 336.0, 36.0], shoonya_1s0241ZM5Z11N0, 5742440]
[paragraph, [790.0, 1303.0, 336.0, 36.0], shoonya_1s0241ZM5Z11N0, 5742440]
[paragraph, [790.0, 1339.0, 336.0, 36.0], shoonya_1s0241ZM5Z11N0, 5742440]
[paragraph, [790.0, 1375.0, 336.0, 36.0], shoonya_1s0241ZM5Z11N0, 5742440]
[paragraph, [790.0, 1411.0, 336.0, 36.0], shoonya_1s0241ZM5Z11N0, 5742440]
[paragraph, [790.0, 1447.0, 336.0, 36.0], shoonya_1s0241ZM5Z11N0, 5742440]
[paragraph, [432.0, 1056.0, 338.0, 36.0], i9-K-T8jXX, 5742440]
[paragraph, [432.0, 1092.0, 338.0, 36.0], i9-K-T8jXX, 5742440]
[paragraph, [432.0, 1128.0, 338.0, 36.0], i9-K-T8jXX, 5742440]
[paragraph, [432.0, 1164.0, 338.0, 36.0], i9-K-T8jXX, 5742440]
[paragraph, [432.0, 1200.0, 338.0, 36.0], i9-K-T8jXX, 5742440]
[paragraph, [432.0, 1236.0, 338.0, 36.0], i9-K-T8jXX, 5742440]
[paragraph, [432.0, 1272.0, 338.0, 36.0], i9-K-T8jXX, 5742440]
[paragraph, [432.0, 1308.0, 338.0, 36.0], i9-K-T8jXX, 5742440]
[paragraph, [432.0, 1344.0, 338.0, 36.0], i9-K-T8jXX, 5742440]
