[2484, 1767]
[paragraph, [349.0, 384.0, 835.0, 36.0], m283Tjt1Hk, 5753794]
[paragraph, [349.0, 420.0, 835.0, 36.0], m283Tjt1Hk, 5753794]
[ordered-list, [464.0, 475.0, 617.0, 36.0], YRSpSzRzqB, 5753794]
[ordered-list, [464.0, 511.0, 617.0, 36.0], YRSpSzRzqB, 5753794]
[ordered-list, [464.0, 547.0, 617.0, 36.0], YRSpSzRzqB, 5753794]
[ordered-list, [464.0, 583.0, 617.0, 36.0], YRSpSzRzqB, 5753794]
[ordered-list, [464.0, 619.0, 617.0, 36.0], YRSpSzRzqB, 5753794]
[paragraph, [308.0, 681.0, 1310.0, 36.0], shoonya_0sDQ5DSYOFHZBJ, 5753794]
[paragraph, [308.0, 717.0, 1310.0, 36.0], shoonya_0sDQ5DSYOFHZBJ, 5753794]
[paragraph, [308.0, 753.0, 1310.0, 36.0], shoonya_0sDQ5DSYOFHZBJ, 5753794]
[paragraph, [308.0, 789.0, 1310.0, 36.0], shoonya_0sDQ5DSYOFHZBJ, 5753794]
[paragraph, [308.0, 825.0, 1310.0, 36.0], shoonya_0sDQ5DSYOFHZBJ, 5753794]
[paragraph, [308.0, 861.0, 1310.0, 36.0], shoonya_0sDQ5DSYOFHZBJ, 5753794]
[paragraph, [308.0, 897.0, 1310.0, 36.0], shoonya_0sDQ5DSYOFHZBJ, 5753794]
[paragraph, [308.0, 933.0, 1310.0, 36.0], shoonya_0sDQ5DSYOFHZBJ, 5753794]
[paragraph, [291.0, 957.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 993.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1029.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1065.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1101.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1137.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1173.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1209.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1245.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1281.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1317.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1353.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1389.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1425.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1461.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1497.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1533.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1569.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1605.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [291.0, 1641.0, 1342.0, 36.0], XQGex2Tsgt, 5753794]
[paragraph, [346.0, 1705.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 1741.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 1777.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 1813.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 1849.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 1885.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 1921.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 1957.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 1993.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 2029.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 2065.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 2101.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 2137.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 2173.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 2209.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 2245.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
[paragraph, [346.0, 2281.0, 1231.0, 36.0], shoonya_1sF2IF77XGCGWT, 5753794]
