[2339, 1653]
[paragraph, [117.0, 161.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 197.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 233.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 269.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 305.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 341.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 377.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 413.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 449.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 485.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 521.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 557.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 593.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 629.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 665.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 701.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 737.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [117.0, 773.0, 1421.0, 36.0], shoonya_2sUS6AGUHTO25S, 5751155]
[paragraph, [107.0, 856.0, 1427.0, 36.0], LlV8Ueu77z, 5751155]
[paragraph, [107.0, 892.0, 1427.0, 36.0], LlV8Ueu77z, 5751155]
[paragraph, [107.0, 928.0, 1427.0, 36.0], LlV8Ueu77z, 5751155]
[paragraph, [107.0, 964.0, 1427.0, 36.0], LlV8Ueu77z, 5751155]
[paragraph, [107.0, 1000.0, 1427.0, 36.0], LlV8Ueu77z, 5751155]
[paragraph, [107.0, 1036.0, 1427.0, 36.0], LlV8Ueu77z, 5751155]
[paragraph, [107.0, 1072.0, 1427.0, 36.0], LlV8Ueu77z, 5751155]
[paragraph, [107.0, 1108.0, 1427.0, 36.0], LlV8Ueu77z, 5751155]
[paragraph, [120.0, 1155.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1191.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1227.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1263.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1299.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1335.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1371.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1407.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1443.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1479.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1515.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1551.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1587.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1623.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1659.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1695.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [120.0, 1731.0, 1425.0, 36.0], MMeX70sb2M, 5751155]
[paragraph, [101.0, 1815.0, 1447.0, 36.0], ryXmouqws6, 5751155]
[paragraph, [101.0, 1851.0, 1447.0, 36.0], ryXmouqws6, 5751155]
[paragraph, [101.0, 1887.0, 1447.0, 36.0], ryXmouqws6, 5751155]
[paragraph, [101.0, 1923.0, 1447.0, 36.0], ryXmouqws6, 5751155]
[paragraph, [101.0, 1959.0, 1447.0, 36.0], ryXmouqws6, 5751155]
[paragraph, [101.0, 1995.0, 1447.0, 36.0], ryXmouqws6, 5751155]
[paragraph, [101.0, 2031.0, 1447.0, 36.0], ryXmouqws6, 5751155]
[paragraph, [101.0, 2067.0, 1447.0, 36.0], ryXmouqws6, 5751155]
