[842, 595]
[paragraph, [149.0, 68.0, 297.0, 18.0], shoonya_2s42OZFMQAQVJ6, 6512966]
[paragraph, [149.0, 86.0, 297.0, 18.0], shoonya_2s42OZFMQAQVJ6, 6512966]
[paragraph, [149.0, 104.0, 297.0, 18.0], shoonya_2s42OZFMQAQVJ6, 6512966]
[paragraph, [149.0, 122.0, 297.0, 18.0], shoonya_2s42OZFMQAQVJ6, 6512966]
[paragraph, [149.0, 140.0, 297.0, 18.0], shoonya_2s42OZFMQAQVJ6, 6512966]
[paragraph, [149.0, 158.0, 297.0, 18.0], shoonya_2s42OZFMQAQVJ6, 6512966]
[paragraph, [149.0, 176.0, 297.0, 18.0], shoonya_2s42OZFMQAQVJ6, 6512966]
[paragraph, [149.0, 194.0, 297.0, 18.0], shoonya_2s42OZFMQAQVJ6, 6512966]
[paragraph, [149.0, 212.0, 297.0, 18.0], shoonya_2s42OZFMQAQVJ6, 6512966]
[paragraph, [149.0, 230.0, 297.0, 18.0], shoonya_2s42OZFMQAQVJ6, 6512966]
[paragraph, [149.0, 248.0, 297.0, 18.0], shoonya_2s42OZFMQAQVJ6, 6512966]
[paragraph, [149.0, 266.0, 297.0, 18.0], shoonya_2s42OZFMQAQVJ6, 6512966]
[paragraph, [150.0, 299.0, 297.0, 18.0], shoonya_1sV1HI58NEALH8, 6512966]
[paragraph, [150.0, 317.0, 297.0, 18.0], shoonya_1sV1HI58NEALH8, 6512966]
[paragraph, [150.0, 335.0, 297.0, 18.0], shoonya_1sV1HI58NEALH8, 6512966]
[paragraph, [150.0, 353.0, 297.0, 18.0], shoonya_1sV1HI58NEALH8, 6512966]
[paragraph, [150.0, 371.0, 297.0, 18.0], shoonya_1sV1HI58NEALH8, 6512966]
[paragraph, [150.0, 389.0, 297.0, 18.0], shoonya_1sV1HI58NEALH8, 6512966]
[paragraph, [150.0, 407.0, 297.0, 18.0], shoonya_1sV1HI58NEALH8, 6512966]
[paragraph, [150.0, 425.0, 297.0, 18.0], shoonya_1sV1HI58NEALH8, 6512966]
[paragraph, [150.0, 443.0, 297.0, 18.0], shoonya_1sV1HI58NEALH8, 6512966]
[paragraph, [150.0, 461.0, 297.0, 18.0], shoonya_1sV1HI58NEALH8, 6512966]
[paragraph, [150.0, 479.0, 297.0, 18.0], shoonya_1sV1HI58NEALH8, 6512966]
[paragraph, [150.0, 497.0, 297.0, 18.0], shoonya_1sV1HI58NEALH8, 6512966]
[paragraph, [150.0, 515.0, 297.0, 18.0], shoonya_1sV1HI58NEALH8, 6512966]
