[1650, 1050]
[paragraph, [123.0, 117.0, 838.0, 36.0], h2Dv74tF3x, 5732396]
[paragraph, [123.0, 153.0, 838.0, 36.0], h2Dv74tF3x, 5732396]
[paragraph, [123.0, 189.0, 838.0, 36.0], h2Dv74tF3x, 5732396]
[paragraph, [123.0, 225.0, 838.0, 36.0], h2Dv74tF3x, 5732396]
[paragraph, [123.0, 261.0, 838.0, 36.0], h2Dv74tF3x, 5732396]
[paragraph, [123.0, 297.0, 838.0, 36.0], h2Dv74tF3x, 5732396]
[paragraph, [123.0, 333.0, 838.0, 36.0], h2Dv74tF3x, 5732396]
[paragraph, [123.0, 369.0, 838.0, 36.0], h2Dv74tF3x, 5732396]
[paragraph, [123.0, 405.0, 838.0, 36.0], h2Dv74tF3x, 5732396]
[paragraph, [123.0, 441.0, 838.0, 36.0], h2Dv74tF3x, 5732396]
[paragraph, [123.0, 477.0, 838.0, 36.0], h2Dv74tF3x, 5732396]
[paragraph, [119.0, 550.0, 834.0, 36.0], shoonya_1s7OUOWTDYYZAG, 5732396]
[paragraph, [119.0, 586.0, 834.0, 36.0], shoonya_1s7OUOWTDYYZAG, 5732396]
[paragraph, [119.0, 622.0, 834.0, 36.0], shoonya_1s7OUOWTDYYZAG, 5732396]
[paragraph, [119.0, 658.0, 834.0, 36.0], shoonya_1s7OUOWTDYYZAG, 5732396]
[paragraph, [119.0, 694.0, 834.0, 36.0], shoonya_1s7OUOWTDYYZAG, 5732396]
[paragraph, [119.0, 730.0, 834.0, 36.0], shoonya_1s7OUOWTDYYZAG, 5732396]
[paragraph, [119.0, 766.0, 834.0, 36.0], shoonya_1s7OUOWTDYYZAG, 5732396]
[paragraph, [114.0, 837.0, 835.0, 36.0], shoonya_0sJZJBZZVD87QF, 5732396]
[paragraph, [114.0, 873.0, 835.0, 36.0], shoonya_0sJZJBZZVD87QF, 5732396]
[paragraph, [114.0, 909.0, 835.0, 36.0], shoonya_0sJZJBZZVD87QF, 5732396]
[paragraph, [114.0, 945.0, 835.0, 36.0], shoonya_0sJZJBZZVD87QF, 5732396]
[paragraph, [114.0, 981.0, 835.0, 36.0], shoonya_0sJZJBZZVD87QF, 5732396]
[paragraph, [114.0, 1017.0, 835.0, 36.0], shoonya_0sJZJBZZVD87QF, 5732396]
[paragraph, [114.0, 1053.0, 835.0, 36.0], shoonya_0sJZJBZZVD87QF, 5732396]
[paragraph, [114.0, 1089.0, 835.0, 36.0], shoonya_0sJZJBZZVD87QF, 5732396]
[paragraph, [114.0, 1125.0, 835.0, 36.0], shoonya_0sJZJBZZVD87QF, 5732396]
[paragraph, [114.0, 1161.0, 835.0, 36.0], shoonya_0sJZJBZZVD87QF, 5732396]
[paragraph, [114.0, 1197.0, 835.0, 36.0], shoonya_0sJZJBZZVD87QF, 5732396]
[paragraph, [114.0, 1233.0, 835.0, 36.0], shoonya_0sJZJBZZVD87QF, 5732396]
[paragraph, [114.0, 1269.0, 835.0, 36.0], shoonya_0sJZJBZZVD87QF, 5732396]
[paragraph, [111.0, 1314.0, 832.0, 36.0], GLduRpeCmq, 5732396]
[paragraph, [111.0, 1350.0, 832.0, 36.0], GLduRpeCmq, 5732396]
[folio, [431.0, 1537.0, 138.0, 36.0], Szz6UaVIXu, 5732396]
