[1238, 765]
[folio, [298.0, 67.0, 145.0, 18.0], coYqV0jRiF, 5770677]
[folio, [298.0, 85.0, 145.0, 18.0], coYqV0jRiF, 5770677]
[paragraph, [71.0, 134.0, 311.0, 18.0], Gf0i0kA_vq, 5770677]
[paragraph, [71.0, 152.0, 311.0, 18.0], Gf0i0kA_vq, 5770677]
[paragraph, [71.0, 170.0, 311.0, 18.0], Gf0i0kA_vq, 5770677]
[paragraph, [71.0, 188.0, 311.0, 18.0], Gf0i0kA_vq, 5770677]
[paragraph, [71.0, 206.0, 311.0, 18.0], Gf0i0kA_vq, 5770677]
[paragraph, [71.0, 224.0, 311.0, 18.0], Gf0i0kA_vq, 5770677]
[paragraph, [71.0, 242.0, 311.0, 18.0], Gf0i0kA_vq, 5770677]
[paragraph, [71.0, 260.0, 311.0, 18.0], Gf0i0kA_vq, 5770677]
[paragraph, [71.0, 278.0, 311.0, 18.0], Gf0i0kA_vq, 5770677]
[paragraph, [385.0, 135.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 153.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 171.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 189.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 207.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 225.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 243.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 261.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 279.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 297.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 315.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 333.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 351.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 369.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 387.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 405.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 423.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 441.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 459.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 477.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
[paragraph, [385.0, 495.0, 311.0, 18.0], 6K7BrfVNOG, 5770677]
