[1755, 1241]
[folio, [148.0, 161.0, 274.0, 36.0], ukey5PWxjv, 5760028]
[paragraph, [148.0, 231.0, 868.0, 36.0], u6nHcW6eLi, 5760028]
[paragraph, [148.0, 267.0, 868.0, 36.0], u6nHcW6eLi, 5760028]
[paragraph, [148.0, 303.0, 868.0, 36.0], u6nHcW6eLi, 5760028]
[paragraph, [148.0, 339.0, 868.0, 36.0], u6nHcW6eLi, 5760028]
[paragraph, [142.0, 381.0, 871.0, 36.0], wgfXn-L2uf, 5760028]
[paragraph, [142.0, 417.0, 871.0, 36.0], wgfXn-L2uf, 5760028]
[paragraph, [142.0, 453.0, 871.0, 36.0], wgfXn-L2uf, 5760028]
[paragraph, [142.0, 489.0, 871.0, 36.0], wgfXn-L2uf, 5760028]
[paragraph, [142.0, 525.0, 871.0, 36.0], wgfXn-L2uf, 5760028]
[paragraph, [142.0, 561.0, 871.0, 36.0], wgfXn-L2uf, 5760028]
[paragraph, [142.0, 597.0, 871.0, 36.0], wgfXn-L2uf, 5760028]
[section-title, [141.0, 685.0, 667.0, 49.5], N8jeVf1Dgm, 5760028]
[paragraph, [136.0, 744.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 780.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 816.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 852.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 888.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 924.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 960.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 996.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1032.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1068.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1104.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1140.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1176.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1212.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1248.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1284.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1320.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1356.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1392.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1428.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1464.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1500.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
[paragraph, [136.0, 1536.0, 871.0, 36.0], 27gh6YYB1U, 5760028]
