[1012, 671]
[paragraph, [96.0, 58.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 76.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 94.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 112.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 130.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 148.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 166.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 184.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 202.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 220.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 238.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 256.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 274.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 292.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 310.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 328.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 346.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 364.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 382.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 400.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 418.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 436.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 454.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 472.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [96.0, 490.0, 567.0, 18.0], shoonya_0s88MWSDAPEIVR, 5691439]
[paragraph, [99.0, 524.0, 565.0, 18.0], shoonya_1sWDB2GIEJAB3H, 5691439]
[paragraph, [99.0, 542.0, 565.0, 18.0], shoonya_1sWDB2GIEJAB3H, 5691439]
[paragraph, [99.0, 560.0, 565.0, 18.0], shoonya_1sWDB2GIEJAB3H, 5691439]
[paragraph, [99.0, 578.0, 565.0, 18.0], shoonya_1sWDB2GIEJAB3H, 5691439]
