[515, 727]
[paragraph, [417.0, 106.0, 267.0, 18.0], Puolmuj935, 6532634]
[paragraph, [417.0, 124.0, 267.0, 18.0], Puolmuj935, 6532634]
[paragraph, [417.0, 142.0, 267.0, 18.0], Puolmuj935, 6532634]
[paragraph, [417.0, 160.0, 267.0, 18.0], Puolmuj935, 6532634]
[paragraph, [146.0, 146.0, 253.0, 18.0], aUw2IN1KIt, 6532634]
[paragraph, [146.0, 164.0, 253.0, 18.0], aUw2IN1KIt, 6532634]
[paragraph, [146.0, 182.0, 253.0, 18.0], aUw2IN1KIt, 6532634]
[paragraph, [146.0, 200.0, 253.0, 18.0], aUw2IN1KIt, 6532634]
[paragraph, [146.0, 218.0, 253.0, 18.0], aUw2IN1KIt, 6532634]
[paragraph, [146.0, 236.0, 253.0, 18.0], aUw2IN1KIt, 6532634]
[paragraph, [146.0, 254.0, 253.0, 18.0], aUw2IN1KIt, 6532634]
[paragraph, [146.0, 272.0, 253.0, 18.0], aUw2IN1KIt, 6532634]
[paragraph, [146.0, 290.0, 253.0, 18.0], aUw2IN1KIt, 6532634]
[paragraph, [146.0, 308.0, 253.0, 18.0], aUw2IN1KIt, 6532634]
[paragraph, [146.0, 326.0, 253.0, 18.0], aUw2IN1KIt, 6532634]
[paragraph, [146.0, 344.0, 253.0, 18.0], aUw2IN1KIt, 6532634]
[paragraph, [146.0, 362.0, 253.0, 18.0], aUw2IN1KIt, 6532634]
[paragraph, [413.0, 206.0, 272.0, 18.0], 5jkooHr-fj, 6532634]
[paragraph, [413.0, 224.0, 272.0, 18.0], 5jkooHr-fj, 6532634]
[paragraph, [413.0, 242.0, 272.0, 18.0], 5jkooHr-fj, 6532634]
[paragraph, [413.0, 260.0, 272.0, 18.0], 5jkooHr-fj, 6532634]
[paragraph, [413.0, 278.0, 272.0, 18.0], 5jkooHr-fj, 6532634]
[paragraph, [413.0, 296.0, 272.0, 18.0], 5jkooHr-fj, 6532634]
[paragraph, [413.0, 314.0, 272.0, 18.0], 5jkooHr-fj, 6532634]
[paragraph, [413.0, 332.0, 272.0, 18.0], 5jkooHr-fj, 6532634]
[paragraph, [413.0, 350.0, 272.0, 18.0], 5jkooHr-fj, 6532634]
[paragraph, [413.0, 368.0, 272.0, 18.0], 5jkooHr-fj, 6532634]
[paragraph, [413.0, 386.0, 272.0, 18.0], 5jkooHr-fj, 6532634]
[paragraph, [413.0, 404.0, 272.0, 18.0], 5jkooHr-fj, 6532634]
[footnote, [130.0, 396.0, 270.0, 18.0], w2Z9IimnJs, 6532634]
[footnote, [130.0, 414.0, 270.0, 18.0], w2Z9IimnJs, 6532634]
