[1063, 680]
[paragraph, [59.0, 139.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 157.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 175.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 193.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 211.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 229.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 247.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 265.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 283.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 301.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 319.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 337.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 355.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 373.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 391.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 409.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 427.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 445.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 463.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 481.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 499.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 517.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 535.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 553.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[paragraph, [59.0, 571.0, 540.0, 18.0], BPD7xA1Hfz, 5739718]
[unordered-list, [68.0, 597.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 615.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 633.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 651.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 669.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 687.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 705.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 723.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 741.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 759.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 777.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 795.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 813.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 831.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 849.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[unordered-list, [68.0, 867.0, 553.0, 18.0], YDP4aOuYqW, 5739718]
[paragraph, [69.0, 904.0, 557.0, 18.0], J04ghzrwTX, 5739718]
[paragraph, [69.0, 922.0, 557.0, 18.0], J04ghzrwTX, 5739718]
[paragraph, [69.0, 940.0, 557.0, 18.0], J04ghzrwTX, 5739718]
[paragraph, [69.0, 958.0, 557.0, 18.0], J04ghzrwTX, 5739718]
[footnote, [447.0, 1006.0, 196.0, 18.0], _EgM_AVsRR, 5739718]
[footnote, [447.0, 1024.0, 196.0, 18.0], _EgM_AVsRR, 5739718]
