[567, 454]
[paragraph, [277.0, 20.0, 149.0, 18.0], V98lyfhRwZ, 6459643]
[paragraph, [277.0, 38.0, 149.0, 18.0], V98lyfhRwZ, 6459643]
[paragraph, [277.0, 56.0, 149.0, 18.0], V98lyfhRwZ, 6459643]
[paragraph, [277.0, 74.0, 149.0, 18.0], V98lyfhRwZ, 6459643]
[paragraph, [277.0, 92.0, 149.0, 18.0], V98lyfhRwZ, 6459643]
[paragraph, [277.0, 110.0, 149.0, 18.0], V98lyfhRwZ, 6459643]
[paragraph, [277.0, 128.0, 149.0, 18.0], V98lyfhRwZ, 6459643]
[paragraph, [277.0, 146.0, 149.0, 18.0], V98lyfhRwZ, 6459643]
[paragraph, [34.0, 197.0, 154.0, 18.0], kEN7FW3w-q, 6459643]
[paragraph, [34.0, 215.0, 154.0, 18.0], kEN7FW3w-q, 6459643]
[paragraph, [34.0, 233.0, 154.0, 18.0], kEN7FW3w-q, 6459643]
[paragraph, [34.0, 251.0, 154.0, 18.0], kEN7FW3w-q, 6459643]
[paragraph, [34.0, 269.0, 154.0, 18.0], kEN7FW3w-q, 6459643]
[paragraph, [34.0, 287.0, 154.0, 18.0], kEN7FW3w-q, 6459643]
[paragraph, [34.0, 305.0, 154.0, 18.0], kEN7FW3w-q, 6459643]
[paragraph, [34.0, 323.0, 154.0, 18.0], kEN7FW3w-q, 6459643]
[paragraph, [34.0, 341.0, 154.0, 18.0], kEN7FW3w-q, 6459643]
[paragraph, [273.0, 370.0, 153.0, 18.0], i5fAmNp7a-, 6459643]
[paragraph, [273.0, 388.0, 153.0, 18.0], i5fAmNp7a-, 6459643]
[paragraph, [273.0, 406.0, 153.0, 18.0], i5fAmNp7a-, 6459643]
[paragraph, [273.0, 424.0, 153.0, 18.0], i5fAmNp7a-, 6459643]
[paragraph, [273.0, 442.0, 153.0, 18.0], i5fAmNp7a-, 6459643]
[paragraph, [273.0, 460.0, 153.0, 18.0], i5fAmNp7a-, 6459643]
[paragraph, [273.0, 478.0, 153.0, 18.0], i5fAmNp7a-, 6459643]
[paragraph, [273.0, 496.0, 153.0, 18.0], i5fAmNp7a-, 6459643]
[paragraph, [273.0, 514.0, 153.0, 18.0], i5fAmNp7a-, 6459643]
