[792, 612]
[folio, [147.0, 116.0, 118.0, 18.0], CaPavzw0yp, 6515085]
[paragraph, [145.0, 141.0, 320.0, 18.0], shoonya_0sKEB4OCTNM8KI, 6515085]
[paragraph, [145.0, 159.0, 320.0, 18.0], shoonya_0sKEB4OCTNM8KI, 6515085]
[paragraph, [145.0, 177.0, 320.0, 18.0], shoonya_0sKEB4OCTNM8KI, 6515085]
[paragraph, [145.0, 195.0, 320.0, 18.0], shoonya_0sKEB4OCTNM8KI, 6515085]
[paragraph, [145.0, 213.0, 320.0, 18.0], shoonya_0sKEB4OCTNM8KI, 6515085]
[paragraph, [145.0, 231.0, 320.0, 18.0], shoonya_0sKEB4OCTNM8KI, 6515085]
[paragraph, [145.0, 249.0, 320.0, 18.0], shoonya_0sKEB4OCTNM8KI, 6515085]
[paragraph, [145.0, 267.0, 320.0, 18.0], shoonya_0sKEB4OCTNM8KI, 6515085]
[paragraph, [145.0, 285.0, 320.0, 18.0], shoonya_0sKEB4OCTNM8KI, 6515085]
[paragraph, [145.0, 303.0, 320.0, 18.0], shoonya_0sKEB4OCTNM8KI, 6515085]
[paragraph, [145.0, 321.0, 320.0, 18.0], shoonya_0sKEB4OCTNM8KI, 6515085]
[paragraph, [145.0, 339.0, 320.0, 18.0], shoonya_0sKEB4OCTNM8KI, 6515085]
[paragraph, [145.0, 357.0, 320.0, 18.0], shoonya_0sKEB4OCTNM8KI, 6515085]
[paragraph, [145.0, 375.0, 320.0, 18.0], shoonya_0sKEB4OCTNM8KI, 6515085]
[paragraph, [149.0, 401.0, 314.0, 18.0], 2jZSST2ANw, 6515085]
[paragraph, [149.0, 419.0, 314.0, 18.0], 2jZSST2ANw, 6515085]
[paragraph, [149.0, 437.0, 314.0, 18.0], 2jZSST2ANw, 6515085]
[paragraph, [149.0, 455.0, 314.0, 18.0], 2jZSST2ANw, 6515085]
[paragraph, [149.0, 473.0, 314.0, 18.0], 2jZSST2ANw, 6515085]
[paragraph, [149.0, 491.0, 314.0, 18.0], 2jZSST2ANw, 6515085]
[paragraph, [149.0, 509.0, 314.0, 18.0], 2jZSST2ANw, 6515085]
[paragraph, [149.0, 536.0, 313.0, 18.0], 1HfUrjjwya, 6515085]
[paragraph, [149.0, 554.0, 313.0, 18.0], 1HfUrjjwya, 6515085]
[paragraph, [149.0, 572.0, 313.0, 18.0], 1HfUrjjwya, 6515085]
[paragraph, [149.0, 590.0, 313.0, 18.0], 1HfUrjjwya, 6515085]
[paragraph, [149.0, 608.0, 313.0, 18.0], 1HfUrjjwya, 6515085]
