[2339, 1653]
[paragraph, [247.0, 246.0, 1159.0, 36.0], shoonya_2sDO3YLIXCANPY, 5686395]
[paragraph, [247.0, 282.0, 1159.0, 36.0], shoonya_2sDO3YLIXCANPY, 5686395]
[paragraph, [247.0, 318.0, 1159.0, 36.0], shoonya_2sDO3YLIXCANPY, 5686395]
[paragraph, [247.0, 354.0, 1159.0, 36.0], shoonya_2sDO3YLIXCANPY, 5686395]
[paragraph, [247.0, 390.0, 1159.0, 36.0], shoonya_2sDO3YLIXCANPY, 5686395]
[paragraph, [247.0, 426.0, 1159.0, 36.0], shoonya_2sDO3YLIXCANPY, 5686395]
[paragraph, [247.0, 462.0, 1159.0, 36.0], shoonya_2sDO3YLIXCANPY, 5686395]
[paragraph, [247.0, 498.0, 1159.0, 36.0], shoonya_2sDO3YLIXCANPY, 5686395]
[paragraph, [247.0, 534.0, 1159.0, 36.0], shoonya_2sDO3YLIXCANPY, 5686395]
[paragraph, [253.0, 593.0, 1152.0, 36.0], shoonya_4sRQWT5JZFPHRK, 5686395]
[paragraph, [253.0, 629.0, 1152.0, 36.0], shoonya_4sRQWT5JZFPHRK, 5686395]
[paragraph, [253.0, 665.0, 1152.0, 36.0], shoonya_4sRQWT5JZFPHRK, 5686395]
[paragraph, [253.0, 701.0, 1152.0, 36.0], shoonya_4sRQWT5JZFPHRK, 5686395]
[paragraph, [253.0, 737.0, 1152.0, 36.0], shoonya_4sRQWT5JZFPHRK, 5686395]
[paragraph, [253.0, 773.0, 1152.0, 36.0], shoonya_4sRQWT5JZFPHRK, 5686395]
[paragraph, [253.0, 809.0, 1152.0, 36.0], shoonya_4sRQWT5JZFPHRK, 5686395]
[paragraph, [251.0, 874.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 910.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 946.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 982.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 1018.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 1054.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 1090.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 1126.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 1162.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 1198.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 1234.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 1270.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 1306.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 1342.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 1378.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [251.0, 1414.0, 1153.0, 36.0], shoonya_0sVE1L4BCQ9NKQ, 5686395]
[paragraph, [249.0, 1497.0, 1151.0, 36.0], shoonya_1sGQ9D2ZO8EMI0, 5686395]
[paragraph, [249.0, 1533.0, 1151.0, 36.0], shoonya_1sGQ9D2ZO8EMI0, 5686395]
[paragraph, [249.0, 1569.0, 1151.0, 36.0], shoonya_1sGQ9D2ZO8EMI0, 5686395]
[paragraph, [249.0, 1605.0, 1151.0, 36.0], shoonya_1sGQ9D2ZO8EMI0, 5686395]
[paragraph, [249.0, 1641.0, 1151.0, 36.0], shoonya_1sGQ9D2ZO8EMI0, 5686395]
[paragraph, [249.0, 1677.0, 1151.0, 36.0], shoonya_1sGQ9D2ZO8EMI0, 5686395]
[paragraph, [249.0, 1713.0, 1151.0, 36.0], shoonya_1sGQ9D2ZO8EMI0, 5686395]
[paragraph, [249.0, 1749.0, 1151.0, 36.0], shoonya_1sGQ9D2ZO8EMI0, 5686395]
[paragraph, [249.0, 1785.0, 1151.0, 36.0], shoonya_1sGQ9D2ZO8EMI0, 5686395]
[paragraph, [249.0, 1821.0, 1151.0, 36.0], shoonya_1sGQ9D2ZO8EMI0, 5686395]
[paragraph, [249.0, 1857.0, 1151.0, 36.0], shoonya_1sGQ9D2ZO8EMI0, 5686395]
[paragraph, [251.0, 1912.0, 1154.0, 36.0], shoonya_3sYDAP7J8NLCYN, 5686395]
[paragraph, [251.0, 1948.0, 1154.0, 36.0], shoonya_3sYDAP7J8NLCYN, 5686395]
[paragraph, [251.0, 1984.0, 1154.0, 36.0], shoonya_3sYDAP7J8NLCYN, 5686395]
[paragraph, [251.0, 2020.0, 1154.0, 36.0], shoonya_3sYDAP7J8NLCYN, 5686395]
[paragraph, [251.0, 2056.0, 1154.0, 36.0], shoonya_3sYDAP7J8NLCYN, 5686395]
