[3509, 2482]
[folio, [831.0, 207.0, 490.0, 52.5], n8apa7IfvS, 5691565]
[paragraph, [205.0, 331.0, 1784.0, 52.5], shoonya_1sPOEWWUNMVFJP, 5691565]
[paragraph, [205.0, 383.5, 1784.0, 52.5], shoonya_1sPOEWWUNMVFJP, 5691565]
[paragraph, [205.0, 436.0, 1784.0, 52.5], shoonya_1sPOEWWUNMVFJP, 5691565]
[paragraph, [205.0, 488.5, 1784.0, 52.5], shoonya_1sPOEWWUNMVFJP, 5691565]
[paragraph, [210.0, 586.0, 1787.0, 52.5], sSs_TKCPTX, 5691565]
[paragraph, [210.0, 638.5, 1787.0, 52.5], sSs_TKCPTX, 5691565]
[paragraph, [207.0, 741.0, 1802.0, 52.5], z0ie2MrKr6, 5691565]
[paragraph, [207.0, 793.5, 1802.0, 52.5], z0ie2MrKr6, 5691565]
[paragraph, [220.0, 896.0, 1796.0, 52.5], IZrjmUsTBF, 5691565]
[paragraph, [220.0, 948.5, 1796.0, 52.5], IZrjmUsTBF, 5691565]
[paragraph, [192.0, 1045.0, 1824.0, 52.5], wCO58-q6cV, 5691565]
[paragraph, [192.0, 1097.5, 1824.0, 52.5], wCO58-q6cV, 5691565]
[paragraph, [192.0, 1150.0, 1824.0, 52.5], wCO58-q6cV, 5691565]
[paragraph, [297.0, 1213.0, 1175.0, 52.5], rkQo2oqw9E, 5691565]
[paragraph, [288.0, 1293.0, 1206.0, 52.5], IwNDA-ucbS, 5691565]
[paragraph, [276.0, 1371.0, 586.0, 52.5], yCtW7K7fpL, 5691565]
[paragraph, [263.0, 1445.0, 713.0, 52.5], Bp7o6E7xwn, 5691565]
[paragraph, [282.0, 1523.0, 878.0, 52.5], SK4V2AwTgw, 5691565]
[paragraph, [285.0, 1604.0, 896.0, 52.5], mip_ayBlcQ, 5691565]
[paragraph, [223.0, 1749.0, 1777.0, 52.5], shoonya_3s8S2MEI13YWYK, 5691565]
[paragraph, [223.0, 1801.5, 1777.0, 52.5], shoonya_3s8S2MEI13YWYK, 5691565]
[paragraph, [223.0, 1854.0, 1777.0, 52.5], shoonya_3s8S2MEI13YWYK, 5691565]
[paragraph, [223.0, 1906.5, 1777.0, 52.5], shoonya_3s8S2MEI13YWYK, 5691565]
[paragraph, [223.0, 1959.0, 1777.0, 52.5], shoonya_3s8S2MEI13YWYK, 5691565]
[paragraph, [223.0, 2011.5, 1777.0, 52.5], shoonya_3s8S2MEI13YWYK, 5691565]
[paragraph, [223.0, 2064.0, 1777.0, 52.5], shoonya_3s8S2MEI13YWYK, 5691565]
[paragraph, [207.0, 2145.0, 1790.0, 52.5], shoonya_0sZI568B3625O6, 5691565]
[paragraph, [207.0, 2197.5, 1790.0, 52.5], shoonya_0sZI568B3625O6, 5691565]
[paragraph, [207.0, 2250.0, 1790.0, 52.5], shoonya_0sZI568B3625O6, 5691565]
[paragraph, [207.0, 2302.5, 1790.0, 52.5], shoonya_0sZI568B3625O6, 5691565]
[paragraph, [759.0, 2381.0, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 2433.5, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 2486.0, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 2538.5, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 2591.0, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 2643.5, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 2696.0, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 2748.5, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 2801.0, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 2853.5, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 2906.0, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 2958.5, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 3011.0, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 3063.5, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 3116.0, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [759.0, 3168.5, 752.0, 52.5], shoonya_2sAK5JQG58XNDM, 5691565]
[paragraph, [291.0, 3239.0, 1718.0, 52.5], eYQaru88HI, 5691565]
[paragraph, [291.0, 3291.5, 1718.0, 52.5], eYQaru88HI, 5691565]
