[1754, 1241]
[paragraph, [212.0, 143.0, 890.0, 36.0], shoonya_0sWVC9LE750LOL, 6471126]
[paragraph, [212.0, 179.0, 890.0, 36.0], shoonya_0sWVC9LE750LOL, 6471126]
[paragraph, [212.0, 215.0, 890.0, 36.0], shoonya_0sWVC9LE750LOL, 6471126]
[paragraph, [212.0, 251.0, 890.0, 36.0], shoonya_0sWVC9LE750LOL, 6471126]
[paragraph, [212.0, 287.0, 890.0, 36.0], shoonya_0sWVC9LE750LOL, 6471126]
[paragraph, [212.0, 323.0, 890.0, 36.0], shoonya_0sWVC9LE750LOL, 6471126]
[paragraph, [212.0, 359.0, 890.0, 36.0], shoonya_0sWVC9LE750LOL, 6471126]
[paragraph, [212.0, 395.0, 890.0, 36.0], shoonya_0sWVC9LE750LOL, 6471126]
[paragraph, [212.0, 431.0, 890.0, 36.0], shoonya_0sWVC9LE750LOL, 6471126]
[paragraph, [212.0, 467.0, 890.0, 36.0], shoonya_0sWVC9LE750LOL, 6471126]
[paragraph, [212.0, 503.0, 890.0, 36.0], shoonya_0sWVC9LE750LOL, 6471126]
[paragraph, [212.0, 539.0, 890.0, 36.0], shoonya_0sWVC9LE750LOL, 6471126]
[paragraph, [212.0, 575.0, 890.0, 36.0], shoonya_0sWVC9LE750LOL, 6471126]
[paragraph, [209.0, 665.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 701.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 737.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 773.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 809.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 845.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 881.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 917.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 953.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 989.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1025.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1061.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1097.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1133.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1169.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1205.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1241.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1277.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1313.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1349.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1385.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1421.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1457.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1493.0, 904.0, 36.0], VXME4O9TK_, 6471126]
[paragraph, [209.0, 1529.0, 904.0, 36.0], VXME4O9TK_, 6471126]
