[3509, 2482]
[folio, [864.0, 213.0, 479.0, 52.5], shoonya_3s5GQVXUUPBWA4, 5692428]
[paragraph, [176.0, 353.0, 617.0, 52.5], z9rXTyrbA4, 5692428]
[paragraph, [162.0, 433.0, 1855.0, 52.5], shoonya_2sAIZ0J5ISAMR7, 5692428]
[paragraph, [162.0, 485.5, 1855.0, 52.5], shoonya_2sAIZ0J5ISAMR7, 5692428]
[paragraph, [162.0, 538.0, 1855.0, 52.5], shoonya_2sAIZ0J5ISAMR7, 5692428]
[paragraph, [162.0, 590.5, 1855.0, 52.5], shoonya_2sAIZ0J5ISAMR7, 5692428]
[paragraph, [162.0, 643.0, 1855.0, 52.5], shoonya_2sAIZ0J5ISAMR7, 5692428]
[paragraph, [162.0, 695.5, 1855.0, 52.5], shoonya_2sAIZ0J5ISAMR7, 5692428]
[paragraph, [162.0, 748.0, 1855.0, 52.5], shoonya_2sAIZ0J5ISAMR7, 5692428]
[paragraph, [282.0, 815.0, 1296.0, 52.5], vlpLRf9Uww, 5692428]
[paragraph, [217.0, 899.0, 663.0, 52.5], Cu2Z6STNPC, 5692428]
[paragraph, [181.0, 970.0, 1839.0, 52.5], shoonya_5sC6JH1IX4FZCV, 5692428]
[paragraph, [181.0, 1022.5, 1839.0, 52.5], shoonya_5sC6JH1IX4FZCV, 5692428]
[paragraph, [181.0, 1075.0, 1839.0, 52.5], shoonya_5sC6JH1IX4FZCV, 5692428]
[paragraph, [181.0, 1127.5, 1839.0, 52.5], shoonya_5sC6JH1IX4FZCV, 5692428]
[paragraph, [181.0, 1180.0, 1839.0, 52.5], shoonya_5sC6JH1IX4FZCV, 5692428]
[paragraph, [181.0, 1232.5, 1839.0, 52.5], shoonya_5sC6JH1IX4FZCV, 5692428]
[paragraph, [181.0, 1285.0, 1839.0, 52.5], shoonya_5sC6JH1IX4FZCV, 5692428]
[paragraph, [305.0, 1369.0, 367.0, 52.5], shoonya_1sPY6O9NXECPUP, 5692428]
[paragraph, [164.0, 1433.0, 1895.0, 52.5], _9kJeRF7oT, 5692428]
[paragraph, [164.0, 1485.5, 1895.0, 52.5], _9kJeRF7oT, 5692428]
[paragraph, [164.0, 1538.0, 1895.0, 52.5], _9kJeRF7oT, 5692428]
[paragraph, [164.0, 1590.5, 1895.0, 52.5], _9kJeRF7oT, 5692428]
[paragraph, [164.0, 1643.0, 1895.0, 52.5], _9kJeRF7oT, 5692428]
[paragraph, [164.0, 1695.5, 1895.0, 52.5], _9kJeRF7oT, 5692428]
[paragraph, [164.0, 1748.0, 1895.0, 52.5], _9kJeRF7oT, 5692428]
[paragraph, [273.0, 1821.0, 1334.0, 52.5], 3bT9WGmqZo, 5692428]
[paragraph, [288.0, 1908.0, 1309.0, 52.5], RshflUO9N_, 5692428]
[paragraph, [204.0, 1985.0, 1845.0, 52.5], 7K2cOqFnJc, 5692428]
[paragraph, [204.0, 2037.5, 1845.0, 52.5], 7K2cOqFnJc, 5692428]
[paragraph, [204.0, 2090.0, 1845.0, 52.5], 7K2cOqFnJc, 5692428]
[paragraph, [176.0, 2143.0, 1864.0, 52.5], ZFWbeQiluI, 5692428]
[paragraph, [176.0, 2195.5, 1864.0, 52.5], ZFWbeQiluI, 5692428]
[paragraph, [176.0, 2248.0, 1864.0, 52.5], ZFWbeQiluI, 5692428]
[paragraph, [176.0, 2300.5, 1864.0, 52.5], ZFWbeQiluI, 5692428]
[paragraph, [176.0, 2353.0, 1864.0, 52.5], ZFWbeQiluI, 5692428]
[paragraph, [297.0, 2451.0, 384.0, 52.5], 4KYew8GIFG, 5692428]
[paragraph, [294.0, 2528.0, 1529.0, 52.5], _pXH6_8FeV, 5692428]
[paragraph, [285.0, 2618.0, 384.0, 52.5], M-QahYIjKE, 5692428]
[paragraph, [229.0, 2910.0, 654.0, 52.5], _dhm8feCuL, 5692428]
[paragraph, [210.0, 2991.0, 1801.0, 52.5], shoonya_4sP25PRY3W9MJQ, 5692428]
[paragraph, [210.0, 3043.5, 1801.0, 52.5], shoonya_4sP25PRY3W9MJQ, 5692428]
[paragraph, [210.0, 3096.0, 1801.0, 52.5], shoonya_4sP25PRY3W9MJQ, 5692428]
[paragraph, [210.0, 3148.5, 1801.0, 52.5], shoonya_4sP25PRY3W9MJQ, 5692428]
[paragraph, [294.0, 3245.0, 505.0, 52.5], nb1UnuChpa, 5692428]
