[2352, 1732]
[paragraph, [377.0, 201.0, 1186.0, 36.0], shoonya_5sCBGTO5K69WQV, 5733657]
[paragraph, [377.0, 237.0, 1186.0, 36.0], shoonya_5sCBGTO5K69WQV, 5733657]
[paragraph, [377.0, 273.0, 1186.0, 36.0], shoonya_5sCBGTO5K69WQV, 5733657]
[paragraph, [375.0, 354.0, 1181.0, 36.0], shoonya_4sYBDR301870WU, 5733657]
[paragraph, [375.0, 390.0, 1181.0, 36.0], shoonya_4sYBDR301870WU, 5733657]
[paragraph, [375.0, 426.0, 1181.0, 36.0], shoonya_4sYBDR301870WU, 5733657]
[paragraph, [375.0, 462.0, 1181.0, 36.0], shoonya_4sYBDR301870WU, 5733657]
[paragraph, [375.0, 498.0, 1181.0, 36.0], shoonya_4sYBDR301870WU, 5733657]
[paragraph, [375.0, 534.0, 1181.0, 36.0], shoonya_4sYBDR301870WU, 5733657]
[paragraph, [379.0, 633.0, 1174.0, 36.0], shoonya_3s4S4GKKRD167N, 5733657]
[paragraph, [379.0, 669.0, 1174.0, 36.0], shoonya_3s4S4GKKRD167N, 5733657]
[paragraph, [379.0, 705.0, 1174.0, 36.0], shoonya_3s4S4GKKRD167N, 5733657]
[paragraph, [370.0, 790.0, 1184.0, 36.0], shoonya_1s19J8UD8WCHZC, 5733657]
[paragraph, [370.0, 826.0, 1184.0, 36.0], shoonya_1s19J8UD8WCHZC, 5733657]
[paragraph, [370.0, 862.0, 1184.0, 36.0], shoonya_1s19J8UD8WCHZC, 5733657]
[paragraph, [370.0, 898.0, 1184.0, 36.0], shoonya_1s19J8UD8WCHZC, 5733657]
[paragraph, [370.0, 934.0, 1184.0, 36.0], shoonya_1s19J8UD8WCHZC, 5733657]
[paragraph, [370.0, 970.0, 1184.0, 36.0], shoonya_1s19J8UD8WCHZC, 5733657]
[paragraph, [370.0, 1006.0, 1184.0, 36.0], shoonya_1s19J8UD8WCHZC, 5733657]
[paragraph, [370.0, 1042.0, 1184.0, 36.0], shoonya_1s19J8UD8WCHZC, 5733657]
[paragraph, [370.0, 1078.0, 1184.0, 36.0], shoonya_1s19J8UD8WCHZC, 5733657]
[paragraph, [370.0, 1114.0, 1184.0, 36.0], shoonya_1s19J8UD8WCHZC, 5733657]
[paragraph, [370.0, 1150.0, 1184.0, 36.0], shoonya_1s19J8UD8WCHZC, 5733657]
[paragraph, [370.0, 1186.0, 1184.0, 36.0], shoonya_1s19J8UD8WCHZC, 5733657]
[paragraph, [370.0, 1222.0, 1184.0, 36.0], shoonya_1s19J8UD8WCHZC, 5733657]
[paragraph, [366.0, 1312.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1348.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1384.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1420.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1456.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1492.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1528.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1564.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1600.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1636.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1672.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1708.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1744.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1780.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1816.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
[paragraph, [366.0, 1852.0, 1189.0, 36.0], shoonya_0s9QW3REOU38HO, 5733657]
